"Year","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","proc.note","edited","plantid","Plot","trt","obs.alive","surv"
2021,2,NA,24.5,0,NA,"",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2022,2,51,27,1,"7","",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2023,3,39,19,2,"SOS","",NA,FALSE,"3008_6_4J","6","irrigated",TRUE,TRUE
2016,4,NA,7.6,1,"3.4","",NA,FALSE,"3009_13_17J","13","control",TRUE,TRUE
2017,5,NA,12.5,1,"2.5","",NA,FALSE,"3009_13_17J","13","control",TRUE,TRUE
2018,6,11,9.5,2,"3.5","",NA,FALSE,"3009_13_17J","13","control",TRUE,TRUE
2019,5,21,13.5,1,"3","",NA,FALSE,"3009_13_17J","13","control",TRUE,TRUE
2020,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3009_13_17J","13","control",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3009_13_17J","13","control",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP, tag pulled",NA,FALSE,"3009_13_17J","13","control",FALSE,FALSE
2016,3,NA,3.9,0,NA,"",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2017,3,NA,13,1,"2.5","",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2018,2,15,11,1,"2.8","",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2019,1,NA,17.5,0,NA,"",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3010_5_14G","5","drought",FALSE,TRUE
2021,1,NA,5,0,NA,"",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2022,3,25,18,2,"SOS","",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2023,5,33,13,3,"SOS","",NA,FALSE,"3010_5_14G","5","drought",TRUE,TRUE
2016,3,NA,8.8,NA,NA,"",NA,FALSE,"3011_4_3H","4","irrigated",TRUE,TRUE
2017,4,NA,10,1,"2.5","",NA,FALSE,"3011_4_3H","4","irrigated",TRUE,TRUE
2018,1,10,10,0,"0","",NA,FALSE,"3011_4_3H","4","irrigated",TRUE,TRUE
2019,1,NA,10,0,NA,"",NA,FALSE,"3011_4_3H","4","irrigated",TRUE,TRUE
2020,1,NA,9.4,0,NA,"",NA,FALSE,"3011_4_3H","4","irrigated",TRUE,TRUE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3011_4_3H","4","irrigated",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3011_4_3H","4","irrigated",FALSE,FALSE
2021,1,NA,10,0,NA,"",NA,FALSE,"3012_1_17G","1","irrigated",TRUE,TRUE
2022,1,NA,20,0,NA,"",NA,FALSE,"3012_1_17G","1","irrigated",TRUE,TRUE
2023,1,27,11.5,1,"3","",NA,FALSE,"3012_1_17G","1","irrigated",TRUE,TRUE
2017,1,NA,9.5,0,NA,"",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2018,2,13.5,13.5,0,NA,"",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2019,1,NA,8.5,0,NA,"",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2020,1,NA,9.8,0,NA,"",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2021,2,NA,12,0,NA,"",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2022,1,27,13,1,"3","",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2023,1,13,23,1,NA,"dead umbel. Did not track phenology.",NA,FALSE,"3013_2_3I","2","control",TRUE,TRUE
2016,8,NA,10.2,2,"1.5","",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2017,8,NA,10,3,"2.5","",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2018,3,16,16,0,NA,"",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2019,4,NA,13.5,0,NA,"",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2020,2,NA,12.7,0,NA,"",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2021,5,10,11,2,"SOS","",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2022,6,19.5,14,2,"SOS","",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2023,7,23,14,5,"SOS","",NA,FALSE,"3014_15_9I","15","drought",TRUE,TRUE
2017,2,NA,12.5,3,"4.5","",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2018,3,24,18.5,1,"2.5","",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2019,1,NA,11,0,NA,"one leaf partially eaten",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3015_3_0F","3","control",FALSE,TRUE
2021,2,NA,14,0,NA,"",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2022,3,34,17,1,"5","",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2023,6,45,20,3,"SOS","",NA,FALSE,"3015_3_0F","3","control",TRUE,TRUE
2016,3,NA,12,1,"2.8","",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2017,8,NA,12,4,"3.5","",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2018,4,24,13,2,"2.4","",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2019,2,16.5,11,1,"2","",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2020,1,NA,15.2,0,NA,"",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2021,2,NA,16,0,NA,"",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2022,6,36,19,2,"SOS","",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2023,4,39,16,3,"SOS","1 umbel dead",NA,FALSE,"3017_15_7G","15","drought",TRUE,TRUE
2017,2,NA,13,2,"4","",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2018,3,9.5,10.5,1,"2.4","",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2019,4,21,15.5,2,"4.5","one leaf pulled off",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3018_13_10G","13","control",FALSE,TRUE
2021,3,20,15.5,1,"3.5","",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2022,4,36,13,3,"SOS","",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2023,6,32,12,5,"SOS","",NA,FALSE,"3018_13_10G","13","control",TRUE,TRUE
2017,6,NA,18.5,1,"2.2","",NA,FALSE,"3019_3_2A","3","control",TRUE,TRUE
2018,2,15,19,1,"0.8","",NA,FALSE,"3019_3_2A","3","control",TRUE,TRUE
2019,2,9,15,1,"2","",NA,FALSE,"3019_3_2A","3","control",TRUE,TRUE
2020,1,NA,12,0,NA,"",NA,FALSE,"3019_3_2A","3","control",TRUE,TRUE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3019_3_2A","3","control",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3019_3_2A","3","control",FALSE,FALSE
2023,NA,NA,NA,NA,NA,"NPNT > 2 years.",NA,FALSE,"3019_3_2A","3","control",FALSE,FALSE
2021,1,NA,9,0,NA,"",NA,FALSE,"3020_4_0D","4","irrigated",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3020_4_0D","4","irrigated",FALSE,TRUE
2023,1,NA,20.5,0,NA,"next to hose",NA,FALSE,"3020_4_0D","4","irrigated",TRUE,TRUE
2021,2,NA,16,0,NA,"",NA,FALSE,"3021_15_9J","15","drought",TRUE,TRUE
2022,4,57,19,2,"SOS","",NA,FALSE,"3021_15_9J","15","drought",TRUE,TRUE
2023,0,NA,NA,NA,NA,"NP",NA,FALSE,"3021_15_9J","15","drought",FALSE,FALSE
2016,6,NA,3.8,2,"2.2","",NA,FALSE,"3022_5_14J","5","drought",TRUE,TRUE
2017,3,NA,11,1,"3","",NA,FALSE,"3022_5_14J","5","drought",TRUE,TRUE
2018,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3022_5_14J","5","drought",FALSE,FALSE
2019,0,NA,NA,NA,NA,"no plant",NA,FALSE,"3022_5_14J","5","drought",FALSE,FALSE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3022_5_14J","5","drought",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3022_5_14J","5","drought",FALSE,FALSE
2022,3,28,11,2,"SOS","","NA; tag modified for gap",TRUE,"3022b_5_14J","5","drought",TRUE,TRUE
2023,4,35,10,2,"SOS","","NA; tag modified for gap",TRUE,"3022b_5_14J","5","drought",TRUE,TRUE
2016,7,NA,5.7,2,"3.2","2 stalks",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2017,5,NA,14.5,2,"2","",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2018,2,12,10.5,1,"1.7","",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2019,3,NA,14,0,NA,"",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3023_13_16G","13","control",FALSE,TRUE
2021,3,23,20,1,"2.5","",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3023_13_16G","13","control",FALSE,TRUE
2023,3,32,17,1,"6","",NA,FALSE,"3023_13_16G","13","control",TRUE,TRUE
2016,9,NA,6.7,2,"2.1","",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2017,4,NA,15,2,"2","",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2018,2,10,11.5,1,"3.8","",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2019,2,NA,11.5,0,NA,"",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2020,2,NA,12,0,NA,"",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2021,1,NA,12,0,NA,"",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2022,1,NA,17.5,0,NA,"",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2023,1,NA,21,0,NA,"",NA,FALSE,"3024_5_0H","5","drought",TRUE,TRUE
2021,1,NA,9,0,NA,"",NA,FALSE,"3026_13_3E","13","control",TRUE,TRUE
2022,2,26,10,1,"3","",NA,FALSE,"3026_13_3E","13","control",TRUE,TRUE
2023,3,25,15.5,1,"3","can't read note",NA,FALSE,"3026_13_3E","13","control",TRUE,TRUE
2016,3,NA,6.5,1,"2.1","3 stalks",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2017,4,NA,11,2,"3","",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2018,2,14,14,0,NA,"",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2019,1,NA,12,0,NA,"",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2020,1,NA,8.5,0,NA,"",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2021,3,NA,12.5,0,NA,"",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2022,1,NA,12.5,0,NA,"",NA,FALSE,"3027_13_0C","13","control",TRUE,TRUE
2023,0,NA,NA,NA,NA,"NP",NA,FALSE,"3027_13_0C","13","control",FALSE,FALSE
2016,4,NA,8,2,"2.5","",NA,FALSE,"3032_14_6B","14","drought",TRUE,TRUE
2017,3,NA,14,1,"4.5","",NA,FALSE,"3032_14_6B","14","drought",TRUE,TRUE
2018,1,5.5,5.5,0,NA,"",NA,FALSE,"3032_14_6B","14","drought",TRUE,TRUE
2019,4,21,9,2,"2.5","",NA,FALSE,"3032_14_6B","14","drought",TRUE,TRUE
2020,1,NA,13.6,0,NA,"",NA,FALSE,"3032_14_6B","14","drought",TRUE,TRUE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3032_14_6B","14","drought",FALSE,FALSE
2022,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3032_14_6B","14","drought",FALSE,FALSE
2023,0,NA,NA,NA,NA,"NP. Tag pulled.",NA,FALSE,"3032_14_6B","14","drought",FALSE,FALSE
2017,6,NA,12,0,NA,"",NA,FALSE,"3034_5_8G","5","drought",TRUE,TRUE
2018,1,6.5,6.5,0,NA,"",NA,FALSE,"3034_5_8G","5","drought",TRUE,TRUE
2019,0,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3034_5_8G","5","drought",FALSE,TRUE
2020,0,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3034_5_8G","5","drought",FALSE,TRUE
2021,2,NA,9,0,NA,"",NA,FALSE,"3034_5_8G","5","drought",TRUE,TRUE
2022,1,NA,15.5,0,NA,"",NA,FALSE,"3034_5_8G","5","drought",TRUE,TRUE
2023,1,NA,19,0,NA,"",NA,FALSE,"3034_5_8G","5","drought",TRUE,TRUE
2016,3,NA,7.5,0,NA,"",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2017,1,NA,4,0,NA,"",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2018,2,15,15.5,0,NA,"",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2019,3,14,11,1,"2","",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2020,1,NA,12,0,NA,"",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2021,3,NA,16,0,NA,"",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2022,6,44,14,3,"SOS","",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2023,2,37.5,20,1,"4","",NA,FALSE,"3035_14_3B","14","drought",TRUE,TRUE
2016,12,NA,10.6,NA,NA,"2 stalks, top has been eaten",NA,FALSE,"3036_3_2B","3","control",TRUE,TRUE
2017,0,NA,NA,NA,NA,"No plant/dead?","NA; survival imputed based on subsq. record",TRUE,"3036_3_2B","3","control",FALSE,TRUE
2018,2,14,14,0,NA,"",NA,FALSE,"3036_3_2B","3","control",TRUE,TRUE
2019,1,NA,8,NA,NA,"no plant",NA,FALSE,"3036_3_2B","3","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"npnt","NA; survival imputed based on subsq. record",TRUE,"3036_3_2B","3","control",FALSE,TRUE
2021,1,NA,19.5,0,NA,"replacing 3036","manuall fixed tag (see demo note)",TRUE,"3036_3_2B","3","control",TRUE,TRUE
2022,1,NA,22,0,NA,"was replaced by 3762 in 2021, but this year found both tags, and point at the same plant. Pulled the replacement tag",NA,FALSE,"3036_3_2B","3","control",TRUE,TRUE
2023,1,NA,12,0,NA,"",NA,FALSE,"3036_3_2B","3","control",TRUE,TRUE
2016,13,NA,6.8,3,"6.6","Dead",NA,FALSE,"3039_13_0E","13","control",TRUE,TRUE
2017,2,NA,17,2,"4","",NA,FALSE,"3039_13_0E","13","control",TRUE,TRUE
2018,3,8,16,1,"1.6","",NA,FALSE,"3039_13_0E","13","control",TRUE,TRUE
2019,1,NA,15,0,NA,"",NA,FALSE,"3039_13_0E","13","control",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"npnt","NA; survival imputed based on subsq. record",TRUE,"3039_13_0E","13","control",FALSE,TRUE
2021,3,21,15.5,1,"3","","tag manually edited; was 3726",TRUE,"3039_13_0E","13","control",TRUE,TRUE
2022,2,34.5,17,1,"5","","tag manually edited; was 3726",TRUE,"3039_13_0E","13","control",TRUE,TRUE
2023,3,38,18,1,"3","","tag manually edited; was 3726",TRUE,"3039_13_0E","13","control",TRUE,TRUE
2016,3,NA,7.1,0,NA,"",NA,FALSE,"3040_5_12D","5","drought",TRUE,TRUE
2017,4,NA,8.5,2,"2","",NA,FALSE,"3040_5_12D","5","drought",TRUE,TRUE
2018,0,NA,NA,NA,NA,"no plant","NA; survival imputed based on subsq. record",TRUE,"3040_5_12D","5","drought",FALSE,TRUE
2019,1,NA,12,0,NA,"",NA,FALSE,"3040_5_12D","5","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"",NA,FALSE,"3040_5_12D","5","drought",FALSE,FALSE
2021,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3040_5_12D","5","drought",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3040_5_12D","5","drought",FALSE,FALSE
2021,2,NA,17,0,NA,"",NA,FALSE,"3042_13_14B","13","control",TRUE,TRUE
2022,2,31.5,11,1,"3","",NA,FALSE,"3042_13_14B","13","control",TRUE,TRUE
2023,NA,NA,NA,NA,NA,"NPNT",NA,FALSE,"3042_13_14B","13","control",FALSE,FALSE
2016,5,NA,9,1,"3.5","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2017,2,NA,20,1,"2","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2018,4,28,22.5,1,"5.2","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2019,2,22,18,1,"3","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2020,2,NA,13.1,0,NA,"","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2021,1,NA,18.5,0,NA,"","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2022,3,47.5,25.5,2,"SOS","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2023,3,55,30.5,2,"SOS","","one ycoor fixed (was NA)",TRUE,"3044_7_7D","7","drought",TRUE,TRUE
2017,1,NA,11,0,NA,"",NA,FALSE,"3046_1_8B","1","irrigated",TRUE,TRUE
2018,2,9,9,0,NA,"",NA,FALSE,"3046_1_8B","1","irrigated",TRUE,TRUE
2019,2,NA,14,0,NA,"",NA,FALSE,"3046_1_8B","1","irrigated",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"no plant",NA,FALSE,"3046_1_8B","1","irrigated",FALSE,FALSE
2021,0,NA,NA,NA,NA,"NP",NA,FALSE,"3046_1_8B","1","irrigated",FALSE,FALSE
2022,0,NA,NA,NA,NA,"NP. Tag pulled",NA,FALSE,"3046_1_8B","1","irrigated",FALSE,FALSE
2018,2,14,14,0,NA,"",NA,FALSE,"3047_15_14J","15","drought",TRUE,TRUE
2019,1,NA,14,0,NA,"",NA,FALSE,"3047_15_14J","15","drought",TRUE,TRUE
2020,NA,NA,NA,NA,NA,"","NA; survival imputed based on subsq. record",TRUE,"3047_15_14J","15","drought",FALSE,TRUE
2021,2,23,13.5,2,"SOS","",NA,FALSE,"3047_15_14J","15","drought",TRUE,TRUE
2022,6,49,24,3,"SOS","",NA,FALSE,"3047_15_14J","15","drought",TRUE,TRUE
2023,9,44,21,3,"SOS","",NA,FALSE,"3047_15_14J","15","drought",TRUE,TRUE
2021,2,NA,17,0,NA,"",NA,FALSE,"3048_6_8J","6","irrigated",TRUE,TRUE
2022,1,NA,20,0,NA,"outside plot",NA,FALSE,"3048_6_8J","6","irrigated",TRUE,TRUE
2023,2,31,11,1,"5","not tracked for phenology. Outside plot.",NA,FALSE,"3048_6_8J","6","irrigated",TRUE,TRUE
2019,2,NA,10.5,0,NA,"Found tagged in plot, but not on last year's data sheet",NA,FALSE,"3049_12_15B","12","irrigated",TRUE,TRUE
2020,1,NA,9.1,0,NA,"",NA,FALSE,"3049_12_15B","12","irrigated",TRUE,TRUE
2021,1,NA,11,0,NA,"",NA,FALSE,"3049_12_15B","12","irrigated",TRUE,TRUE
2022,2,NA,27,0,NA,"",NA,FALSE,"3049_12_15B","12","irrigated",TRUE,TRUE
2023,2,44,27,1,"6","",NA,FALSE,"3049_12_15B","12","irrigated",TRUE,TRUE
2016,7,NA,8,1,"2","",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2017,4,NA,10,1,"2","",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2018,2,16.5,16.5,0,NA,"",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2019,3,9.5,13,1,"1","",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2020,2,12.5,17.8,1,"0","eaten umbel and stalk",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2021,3,20.5,19.5,1,"3.5","",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2022,4,41,20,2,"SOS","",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2023,5,46,21,4,"SOS","1 umbel dead",NA,FALSE,"3052_15_3J","15","drought",TRUE,TRUE
2021,1,NA,15,2,NA,"umbles dead","umbels dead",FALSE,"3053_2_14B","2","control",TRUE,TRUE
2022,0,NA,NA,NA,NA,"NP","NA; survival imputed based on subsq. record",TRUE,"3053_2_14B","2","control",FALSE,TRUE
2023,1,NA,13,0,NA,"",NA,FALSE,"3053_2_14B","2","control",TRUE,TRUE
