"plantid","Plot","trt","Year","surv","obs.alive","No.leaves","Leaf.length","No.umbels","edited","proc.note","demo.note"
"3192_1_11B",1,"irrigated",2023,TRUE,TRUE,5,20.5,2,FALSE,,""
"3192_1_11B",1,"irrigated",2024,TRUE,TRUE,3,15,2,FALSE,"",""
"3193_1_16C",1,"irrigated",2019,TRUE,TRUE,1,15,1,FALSE,,""
"3193_1_16C",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3193_1_16C",1,"irrigated",2021,TRUE,TRUE,1,20,0,FALSE,,""
"3193_1_16C",1,"irrigated",2022,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","NP"
"3193_1_16C",1,"irrigated",2023,TRUE,TRUE,2,20,1,FALSE,,""
"3193_1_16C",1,"irrigated",2024,TRUE,TRUE,1,19,1,FALSE,"",""
"3194_1_12H",1,"irrigated",2019,TRUE,TRUE,1,18.5,0,FALSE,,""
"3194_1_12H",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3194_1_12H",1,"irrigated",2021,TRUE,TRUE,1,14,0,FALSE,,""
"3194_1_12H",1,"irrigated",2022,TRUE,TRUE,1,30,0,FALSE,,""
"3194_1_12H",1,"irrigated",2023,TRUE,TRUE,3,16,2,FALSE,,""
"3194_1_12H",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3195_1_16B",1,"irrigated",2019,TRUE,TRUE,1,6,1,FALSE,,""
"3195_1_16B",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3195_1_16B",1,"irrigated",2021,TRUE,TRUE,1,11,1,FALSE,,""
"3195_1_16B",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP"
"3195_1_16B",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3197_1_15J",1,"irrigated",2019,TRUE,TRUE,1,8,0,FALSE,,""
"3197_1_15J",1,"irrigated",2020,FALSE,FALSE,,,,FALSE,,""
"3197_1_15J",1,"irrigated",2021,FALSE,FALSE,0,,,FALSE,,"NP"
"3197_1_15J",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled"
"3198_1_16H",1,"irrigated",2019,TRUE,TRUE,1,10.5,0,FALSE,,""
"3198_1_16H",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3198_1_16H",1,"irrigated",2021,TRUE,TRUE,2,12.5,0,FALSE,,""
"3198_1_16H",1,"irrigated",2022,TRUE,TRUE,1,19,0,FALSE,,""
"3198_1_16H",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"Accidentally pulled tag--no plant though."
"3199_1_17H",1,"irrigated",2019,TRUE,TRUE,1,14,0,FALSE,,""
"3199_1_17H",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3199_1_17H",1,"irrigated",2021,TRUE,TRUE,1,11.5,0,FALSE,,""
"3199_1_17H",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP"
"3199_1_17H",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3200_1_19I",1,"irrigated",2019,TRUE,TRUE,1,5.5,0,FALSE,,""
"3200_1_19I",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3200_1_19I",1,"irrigated",2021,TRUE,TRUE,1,11,0,FALSE,,""
"3200_1_19I",1,"irrigated",2022,TRUE,TRUE,1,17,0,FALSE,,""
"3200_1_19I",1,"irrigated",2023,TRUE,TRUE,1,15,0,FALSE,,""
"3200_1_19I",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3347_1_15I",1,"irrigated",2019,TRUE,TRUE,1,13,0,FALSE,,""
"3347_1_15I",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3347_1_15I",1,"irrigated",2021,TRUE,TRUE,1,13,0,FALSE,,""
"3347_1_15I",1,"irrigated",2022,TRUE,TRUE,2,15,1,FALSE,,""
"3347_1_15I",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP"
"3347_1_15I",1,"irrigated",2024,FALSE,FALSE,0,,,FALSE,"","NP; tag pulled"
"3365_1_0J",1,"irrigated",2021,TRUE,TRUE,2,11.5,0,FALSE,,""
"3365_1_0J",1,"irrigated",2022,TRUE,TRUE,3,10,2,FALSE,,""
"3365_1_0J",1,"irrigated",2023,TRUE,TRUE,2,14,1,FALSE,,""
"3365_1_0J",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3410_1_4J",1,"irrigated",2018,TRUE,TRUE,2,13.5,0,FALSE,,""
"3410_1_4J",1,"irrigated",2019,TRUE,TRUE,1,9,0,FALSE,,""
"3410_1_4J",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record","NPNT"
"3410_1_4J",1,"irrigated",2021,TRUE,TRUE,4,13.5,1,FALSE,,""
"3410_1_4J",1,"irrigated",2022,TRUE,TRUE,2,14,1,FALSE,,""
"3410_1_4J",1,"irrigated",2023,TRUE,TRUE,6,14,3,FALSE,,""
"3410_1_4J",1,"irrigated",2024,TRUE,TRUE,2,15.5,1,FALSE,"",""
"3411_1_9J",1,"irrigated",2018,TRUE,TRUE,2,7,0,FALSE,,""
"3411_1_9J",1,"irrigated",2019,TRUE,TRUE,1,8,0,FALSE,,""
"3411_1_9J",1,"irrigated",2020,TRUE,TRUE,1,7.5,0,FALSE,,""
"3411_1_9J",1,"irrigated",2021,TRUE,TRUE,1,13,0,FALSE,,""
"3411_1_9J",1,"irrigated",2022,TRUE,TRUE,1,11,0,FALSE,,""
"3411_1_9J",1,"irrigated",2023,TRUE,TRUE,1,15.5,1,FALSE,,""
"3411_1_9J",1,"irrigated",2024,TRUE,TRUE,2,8.5,1,FALSE,"","accidentally pulled when measuring; 22 fruits"
"3412_1_9I",1,"irrigated",2018,TRUE,TRUE,1,8.5,0,FALSE,,""
"3412_1_9I",1,"irrigated",2019,TRUE,TRUE,1,8,0,FALSE,,""
"3412_1_9I",1,"irrigated",2020,TRUE,TRUE,1,10.1,0,FALSE,,""
"3412_1_9I",1,"irrigated",2021,TRUE,TRUE,1,11,0,FALSE,,""
"3412_1_9I",1,"irrigated",2022,TRUE,TRUE,2,15,1,FALSE,,""
"3412_1_9I",1,"irrigated",2023,TRUE,TRUE,4,17,2,FALSE,,""
"3412_1_9I",1,"irrigated",2024,TRUE,TRUE,2,22.5,0,FALSE,"","moss"
"3415_1_17J",1,"irrigated",2019,TRUE,TRUE,1,10.5,0,FALSE,,""
"3415_1_17J",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3415_1_17J",1,"irrigated",2021,TRUE,TRUE,1,12,0,FALSE,,""
"3415_1_17J",1,"irrigated",2022,TRUE,TRUE,1,20,0,FALSE,,""
"3415_1_17J",1,"irrigated",2023,TRUE,TRUE,1,15,0,FALSE,,""
"3415_1_17J",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3418_1_18B",1,"irrigated",2019,TRUE,TRUE,1,13,1,FALSE,,""
"3418_1_18B",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3418_1_18B",1,"irrigated",2021,TRUE,TRUE,2,12,1,FALSE,,"18E not 18B"
"3418_1_18B",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP. In 18E"
"3418_1_18B",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3424_1_12G",1,"irrigated",2019,TRUE,TRUE,2,13,1,FALSE,,""
"3424_1_12G",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3424_1_12G",1,"irrigated",2021,TRUE,TRUE,3,21,0,FALSE,,""
"3424_1_12G",1,"irrigated",2022,TRUE,TRUE,3,25.5,1,FALSE,,""
"3424_1_12G",1,"irrigated",2023,TRUE,TRUE,7,20.5,4,FALSE,,""
"3424_1_12G",1,"irrigated",2024,TRUE,TRUE,3,37,0,FALSE,"","yes length is actually 37!"
"3425_1_19B",1,"irrigated",2019,TRUE,TRUE,2,10,1,FALSE,,""
"3425_1_19B",1,"irrigated",2020,FALSE,FALSE,,,,FALSE,,""
"3425_1_19B",1,"irrigated",2021,FALSE,FALSE,0,,,FALSE,,"NP, under hose"
"3425_1_19B",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP, under hose. Tag pulled"
"3430_1_10A",1,"irrigated",2019,TRUE,TRUE,1,12.5,0,TRUE,"dupe records removed",""
"3430_1_10A",1,"irrigated",2020,FALSE,FALSE,,,,TRUE,"dupe records removed","no plant"
"3430_1_10A",1,"irrigated",2021,FALSE,FALSE,0,,,TRUE,"dupe records removed","NP"
"3430_1_10A",1,"irrigated",2022,FALSE,FALSE,0,,,TRUE,"dupe records removed","NP. Tag pulled"
"3430_1_10A",1,"irrigated",2023,FALSE,FALSE,,,,TRUE,"dupe records removed","For some reason we have 2 rows for 3430, but we pulled this tag in 2022 in plot 1. Need to go back and make them one plant (2020-now). There is another 3420 in plot 14 though. NPNT>2 years."
"3432_1_19A",1,"irrigated",2019,TRUE,TRUE,1,10,0,FALSE,,""
"3432_1_19A",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3432_1_19A",1,"irrigated",2021,TRUE,TRUE,2,21.5,0,FALSE,,""
"3432_1_19A",1,"irrigated",2022,TRUE,TRUE,2,14,2,FALSE,,""
"3432_1_19A",1,"irrigated",2023,TRUE,TRUE,4,15.5,2,FALSE,,""
"3432_1_19A",1,"irrigated",2024,TRUE,TRUE,1,16,1,FALSE,"",""
"3434_1_19F",1,"irrigated",2019,TRUE,TRUE,1,18,0,FALSE,,""
"3434_1_19F",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3434_1_19F",1,"irrigated",2021,TRUE,TRUE,3,12,1,FALSE,,""
"3434_1_19F",1,"irrigated",2022,TRUE,TRUE,3,14,1,FALSE,,"stalk broken completely"
"3434_1_19F",1,"irrigated",2023,TRUE,TRUE,2,19.5,1,FALSE,,""
"3434_1_19F",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3437_1_16J",1,"irrigated",2019,TRUE,TRUE,1,10,0,FALSE,,""
"3437_1_16J",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3437_1_16J",1,"irrigated",2021,TRUE,TRUE,1,10,0,FALSE,,""
"3437_1_16J",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP"
"3437_1_16J",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3483_1_18E",1,"irrigated",2019,TRUE,TRUE,1,16,1,FALSE,,""
"3483_1_18E",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3483_1_18E",1,"irrigated",2021,TRUE,TRUE,2,13.5,0,FALSE,,""
"3483_1_18E",1,"irrigated",2022,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","NP"
"3483_1_18E",1,"irrigated",2023,TRUE,TRUE,2,18,1,FALSE,,""
"3483_1_18E",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3506_1_2E",1,"irrigated",2016,TRUE,TRUE,6,11,2,FALSE,,""
"3506_1_2E",1,"irrigated",2017,TRUE,TRUE,3,14.5,1,FALSE,,""
"3506_1_2E",1,"irrigated",2018,TRUE,TRUE,3,10,1,FALSE,,""
"3506_1_2E",1,"irrigated",2019,TRUE,TRUE,2,10,0,FALSE,,""
"3506_1_2E",1,"irrigated",2020,TRUE,TRUE,2,14,0,FALSE,,""
"3506_1_2E",1,"irrigated",2021,TRUE,TRUE,1,13.5,0,FALSE,,""
"3506_1_2E",1,"irrigated",2022,TRUE,TRUE,5,10.5,4,FALSE,,""
"3506_1_2E",1,"irrigated",2023,TRUE,TRUE,5,14,4,FALSE,,""
"3506_1_2E",1,"irrigated",2024,TRUE,TRUE,6,18.5,5,FALSE,"","last two umbels are buds"
"3525_1_0E",1,"irrigated",2017,TRUE,TRUE,4,17.5,1,FALSE,,""
"3525_1_0E",1,"irrigated",2018,TRUE,TRUE,4,15,1,FALSE,,""
"3525_1_0E",1,"irrigated",2019,TRUE,TRUE,2,8,1,FALSE,,""
"3525_1_0E",1,"irrigated",2020,TRUE,TRUE,1,16.2,0,FALSE,,""
"3525_1_0E",1,"irrigated",2021,TRUE,TRUE,3,18,1,FALSE,,""
"3525_1_0E",1,"irrigated",2022,TRUE,TRUE,3,20,1,FALSE,,""
"3525_1_0E",1,"irrigated",2023,TRUE,TRUE,3,21,2,FALSE,,""
"3525_1_0E",1,"irrigated",2024,TRUE,TRUE,3,22,1,FALSE,"","ysp in phen"
"3527_1_0H",1,"irrigated",2016,TRUE,TRUE,1,15.5,0,FALSE,,""
"3527_1_0H",1,"irrigated",2017,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","No plant/dead?"
"3527_1_0H",1,"irrigated",2018,TRUE,TRUE,3,8,1,FALSE,,""
"3527_1_0H",1,"irrigated",2019,TRUE,FALSE,0,0,0,TRUE,"NA; survival imputed based on subsq. record","no plant"
"3527_1_0H",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record","no plant"
"3527_1_0H",1,"irrigated",2021,TRUE,TRUE,2,15,1,FALSE,,""
"3527_1_0H",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP "
"3527_1_0H",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3537_1_8J",1,"irrigated",2017,TRUE,TRUE,2,8.3,0,FALSE,,""
"3537_1_8J",1,"irrigated",2018,TRUE,TRUE,1,11.5,0,FALSE,,""
"3537_1_8J",1,"irrigated",2019,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","NP"
"3537_1_8J",1,"irrigated",2020,TRUE,TRUE,1,9.8,0,FALSE,,""
"3537_1_8J",1,"irrigated",2021,TRUE,TRUE,1,13.5,0,FALSE,,""
"3537_1_8J",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP"
"3537_1_8J",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3542_1_0I",1,"irrigated",2016,TRUE,TRUE,1,11,2,FALSE,,""
"3542_1_0I",1,"irrigated",2017,TRUE,TRUE,5,15,1,FALSE,,""
"3542_1_0I",1,"irrigated",2018,TRUE,TRUE,11,14,4,FALSE,,""
"3542_1_0I",1,"irrigated",2019,TRUE,TRUE,1,10,1,FALSE,,""
"3542_1_0I",1,"irrigated",2020,TRUE,TRUE,1,13.6,0,FALSE,,""
"3542_1_0I",1,"irrigated",2021,TRUE,TRUE,4,15,0,FALSE,,""
"3542_1_0I",1,"irrigated",2022,TRUE,TRUE,5,15,4,FALSE,,""
"3542_1_0I",1,"irrigated",2023,TRUE,TRUE,4,14,4,FALSE,,""
"3542_1_0I",1,"irrigated",2024,TRUE,TRUE,2,14,1,FALSE,"","found plant already pulled"
"3543_1_2F",1,"irrigated",2016,TRUE,TRUE,4,16.5,1,FALSE,,""
"3543_1_2F",1,"irrigated",2017,TRUE,TRUE,3,33.5,0,FALSE,,""
"3543_1_2F",1,"irrigated",2018,TRUE,TRUE,3,18,0,FALSE,,""
"3543_1_2F",1,"irrigated",2019,TRUE,TRUE,1,8,0,FALSE,,"one leaf partially eaten"
"3543_1_2F",1,"irrigated",2020,TRUE,TRUE,2,13.3,0,FALSE,,""
"3543_1_2F",1,"irrigated",2021,TRUE,TRUE,4,15,2,FALSE,,""
"3543_1_2F",1,"irrigated",2022,TRUE,TRUE,2,14.5,1,FALSE,,""
"3543_1_2F",1,"irrigated",2023,TRUE,TRUE,3,15,2,FALSE,,""
"3543_1_2F",1,"irrigated",2024,TRUE,TRUE,2,25.5,0,FALSE,"",""
"3553_1_7C",1,"irrigated",2016,TRUE,TRUE,5,15.5,1,FALSE,,""
"3553_1_7C",1,"irrigated",2017,TRUE,TRUE,3,9,0,FALSE,,""
"3553_1_7C",1,"irrigated",2018,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","no plant"
"3553_1_7C",1,"irrigated",2019,TRUE,TRUE,1,6,0,FALSE,,""
"3553_1_7C",1,"irrigated",2020,FALSE,FALSE,,,,FALSE,,"no plant"
"3553_1_7C",1,"irrigated",2021,FALSE,FALSE,0,,,FALSE,,"NP"
"3553_1_7C",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled"
"3554_1_5I",1,"irrigated",2016,TRUE,TRUE,5,12.5,2,TRUE,"fixed xcoor (was 6)",""
"3554_1_5I",1,"irrigated",2017,TRUE,TRUE,4,12.6,1,TRUE,"fixed xcoor (was 6)",""
"3554_1_5I",1,"irrigated",2018,TRUE,TRUE,5,14,3,TRUE,"fixed xcoor (was 6)",""
"3554_1_5I",1,"irrigated",2019,TRUE,TRUE,3,12,1,TRUE,"fixed xcoor (was 6)",""
"3554_1_5I",1,"irrigated",2020,TRUE,TRUE,6,4.2,4,TRUE,"fixed xcoor (was 6)",""
"3554_1_5I",1,"irrigated",2021,FALSE,FALSE,,,,TRUE,"fixed xcoor (was 6)","NPNT"
"3554_1_5I",1,"irrigated",2022,FALSE,FALSE,,,,TRUE,"fixed xcoor (was 6)","NPNT"
"3554_1_5I",1,"irrigated",2023,FALSE,FALSE,,,,TRUE,"fixed xcoor (was 6)","NPNT>2 years. Lots of rocks, lots of digging."
"3554_1_5I",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NPNT"
"3567_1_3I",1,"irrigated",2016,TRUE,TRUE,3,12.6,0,FALSE,,""
"3567_1_3I",1,"irrigated",2017,TRUE,TRUE,3,12,0,FALSE,,""
"3567_1_3I",1,"irrigated",2018,TRUE,TRUE,3,11,0,FALSE,,""
"3567_1_3I",1,"irrigated",2019,TRUE,TRUE,1,2,1,FALSE,,""
"3567_1_3I",1,"irrigated",2020,TRUE,TRUE,1,12.7,0,FALSE,,""
"3567_1_3I",1,"irrigated",2021,TRUE,TRUE,3,17,2,FALSE,,""
"3567_1_3I",1,"irrigated",2022,TRUE,TRUE,2,14,2,FALSE,,""
"3567_1_3I",1,"irrigated",2023,TRUE,TRUE,5,19,4,FALSE,,""
"3567_1_3I",1,"irrigated",2024,TRUE,TRUE,2,8.5,2,FALSE,"",""
"3572_1_18H",1,"irrigated",2019,TRUE,TRUE,1,8.5,0,FALSE,,""
"3572_1_18H",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record",""
"3572_1_18H",1,"irrigated",2021,TRUE,TRUE,1,14.5,0,FALSE,,""
"3572_1_18H",1,"irrigated",2022,FALSE,FALSE,0,,,FALSE,,"NP"
"3572_1_18H",1,"irrigated",2023,FALSE,FALSE,0,,,FALSE,,"NP. Tag pulled."
"3583_1_1I",1,"irrigated",2017,TRUE,TRUE,1,12,0,FALSE,,""
"3583_1_1I",1,"irrigated",2018,FALSE,FALSE,,,,FALSE,,"no plant no tag"
"3583_1_1I",1,"irrigated",2019,FALSE,FALSE,,,,FALSE,,"NPNT"
"3583b_1_1I",1,"irrigated",2020,TRUE,TRUE,1,13,0,TRUE,"NA; tag modified for gap",""
"3583b_1_1I",1,"irrigated",2021,TRUE,TRUE,3,17.5,1,TRUE,"NA; tag modified for gap",""
"3583b_1_1I",1,"irrigated",2022,TRUE,TRUE,2,14.5,1,TRUE,"NA; tag modified for gap",""
"3583b_1_1I",1,"irrigated",2023,TRUE,TRUE,3,17,1,TRUE,"NA; tag modified for gap",""
"3583b_1_1I",1,"irrigated",2024,TRUE,TRUE,3,17.5,2,FALSE,"","second umbel bud"
"3599_1_0I",1,"irrigated",2017,TRUE,TRUE,5,13.5,4,FALSE,,""
"3599_1_0I",1,"irrigated",2018,TRUE,TRUE,2,11.5,0,FALSE,,""
"3599_1_0I",1,"irrigated",2019,TRUE,TRUE,3,9.5,0,FALSE,,"one leaf partially eaten"
"3599_1_0I",1,"irrigated",2020,TRUE,TRUE,1,11.7,0,FALSE,,"pulled out"
"3599_1_0I",1,"irrigated",2021,TRUE,TRUE,2,15,1,FALSE,,""
"3599_1_0I",1,"irrigated",2022,TRUE,TRUE,2,16.5,1,FALSE,,""
"3599_1_0I",1,"irrigated",2023,TRUE,TRUE,3,15,2,FALSE,,""
"3599_1_0I",1,"irrigated",2024,TRUE,TRUE,3,14,2,FALSE,"","accidentally pulled first umbel"
"3608_1_3D",1,"irrigated",2016,TRUE,TRUE,4,19.5,0,FALSE,,""
"3608_1_3D",1,"irrigated",2017,TRUE,TRUE,2,16.5,0,FALSE,,""
"3608_1_3D",1,"irrigated",2018,TRUE,TRUE,3,13,1,FALSE,,""
"3608_1_3D",1,"irrigated",2019,TRUE,TRUE,3,11.5,1,FALSE,,""
"3608_1_3D",1,"irrigated",2020,TRUE,FALSE,,,,TRUE,"NA; survival imputed based on subsq. record","no plant"
"3608_1_3D",1,"irrigated",2021,TRUE,TRUE,4,13,1,FALSE,,""
"3608_1_3D",1,"irrigated",2022,TRUE,TRUE,5,13,3,FALSE,,""
"3608_1_3D",1,"irrigated",2023,TRUE,TRUE,6,17,3,FALSE,,""
"3608_1_3D",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP"
"3610_1_0C",1,"irrigated",2016,TRUE,TRUE,6,14.1,5,FALSE,,""
"3610_1_0C",1,"irrigated",2017,TRUE,TRUE,8,22.8,3,FALSE,,""
"3610_1_0C",1,"irrigated",2018,TRUE,TRUE,6,16,3,FALSE,,""
"3610_1_0C",1,"irrigated",2019,TRUE,TRUE,8,15,6,FALSE,,""
"3610_1_0C",1,"irrigated",2020,TRUE,TRUE,3,13.4,1,FALSE,,""
"3610_1_0C",1,"irrigated",2021,TRUE,TRUE,4,18,3,FALSE,,"SOS = see other sheet"
"3610_1_0C",1,"irrigated",2022,TRUE,TRUE,11,20,6,FALSE,,"outside plot"
"3610_1_0C",1,"irrigated",2023,TRUE,TRUE,8,22,6,FALSE,,""
"3610_1_0C",1,"irrigated",2024,TRUE,TRUE,15,23.5,8,FALSE,"","only first two umbels in phen"
"3611_1_7I",1,"irrigated",2016,TRUE,TRUE,5,8.4,2,FALSE,,""
"3611_1_7I",1,"irrigated",2017,TRUE,TRUE,3,7.9,0,FALSE,,""
"3611_1_7I",1,"irrigated",2018,TRUE,TRUE,4,19,1,FALSE,,""
"3611_1_7I",1,"irrigated",2019,TRUE,TRUE,3,8,2,FALSE,,""
"3611_1_7I",1,"irrigated",2020,TRUE,TRUE,3,9.3,2,FALSE,,""
"3611_1_7I",1,"irrigated",2021,TRUE,TRUE,3,13,1,FALSE,,""
"3611_1_7I",1,"irrigated",2022,TRUE,TRUE,3,13,2,FALSE,,""
"3611_1_7I",1,"irrigated",2023,TRUE,TRUE,3,12,2,FALSE,,""
"3611_1_7I",1,"irrigated",2024,TRUE,TRUE,2,11,1,FALSE,"",""
"3627_1_7I",1,"irrigated",2016,TRUE,TRUE,3,11.2,0,FALSE,,""
"3627_1_7I",1,"irrigated",2017,TRUE,TRUE,3,9,0,FALSE,,""
"3627_1_7I",1,"irrigated",2018,TRUE,TRUE,2,14.5,1,FALSE,,""
"3627_1_7I",1,"irrigated",2019,TRUE,TRUE,1,8,1,FALSE,,""
"3627_1_7I",1,"irrigated",2020,TRUE,TRUE,2,13.1,0,FALSE,,""
"3627_1_7I",1,"irrigated",2021,TRUE,TRUE,1,18,0,FALSE,,""
"3627_1_7I",1,"irrigated",2022,TRUE,TRUE,3,15,2,FALSE,,""
"3627_1_7I",1,"irrigated",2023,TRUE,TRUE,3,15,1,FALSE,,""
"3627_1_7I",1,"irrigated",2024,,FALSE,0,,,FALSE,"","NP; in phen but can't find"
"3629_1_4I",1,"irrigated",2017,TRUE,TRUE,6,14,0,FALSE,,"Could be 2 plants"
"3629_1_4I",1,"irrigated",2018,TRUE,TRUE,2,14,0,FALSE,,""
"3629_1_4I",1,"irrigated",2019,TRUE,TRUE,1,6,0,FALSE,,""
"3629_1_4I",1,"irrigated",2020,TRUE,TRUE,1,7.7,0,FALSE,,""
"3629_1_4I",1,"irrigated",2021,TRUE,FALSE,0,,,TRUE,"NA; survival imputed based on subsq. record","NP"
"3629_1_4I",1,"irrigated",2022,TRUE,TRUE,1,18.5,0,FALSE,,""
"3629_1_4I",1,"irrigated",2023,TRUE,TRUE,3,15,1,FALSE,,""
"3629_1_4I",1,"irrigated",2024,TRUE,TRUE,2,15,1,FALSE,"",""
