survey.date,plot,coor,tag,no.buds,no.flowers,no.flp,no.seeding,no.dead,notes
5/17/24,3,16B,3759,0,2,0,3,1,
4/3/24,3,16C,7552,1,0,0,0,0,
4/12/24,3,16C,7552,0,1,0,0,0,
4/19/24,3,16C,7552,1,1,0,0,0,
4/26/24,3,16C,7552,2,0,1,0,0,
5/1/24,3,16C,7552,2,0,0,1,0,
5/8/24,3,16C,7552,0,2,0,1,0,
5/17/24,3,16C,7552,0,0,0,2,1,
4/12/24,3,1F,3349,1,0,0,0,0,
4/19/24,3,1F,3349,1,0,0,0,0,
4/26/24,3,1F,3349,0,1,0,0,0,
5/1/24,3,1F,3349,2,1,0,0,0,
5/8/24,3,1F,3349,2,0,1,0,0,
5/17/24,3,1F,3349,0,0,0,3,0,
4/12/24,3,6D,3846,1,0,0,0,0,
4/19/24,3,6D,3846,1,0,0,0,0,
4/26/24,3,6D,3846,1,0,1,0,0,
5/1/24,3,6D,3846,1,0,1,0,0,
5/8/24,3,6D,3846,1,0,0,1,0,
5/17/24,3,6D,3846,0,0,1,1,0,
4/12/24,3,8G,7548,1,0,0,0,0,
4/19/24,3,8G,7548,1,0,0,0,0,
4/26/24,3,8G,7548,2,1,0,0,0,
5/1/24,3,8G,7548,2,0,1,0,0,
5/8/24,3,8G,7548,0,2,0,1,0,
5/17/24,3,8G,7548,0,0,0,3,0,
4/12/24,3,19D,7565,1,0,0,0,0,
4/19/24,3,19D,7565,1,0,0,0,0,
4/26/24,3,19D,7565,0,1,0,0,0,
5/1/24,3,19D,7565,1,1,0,0,0,
5/8/24,3,19D,7565,1,0,1,0,0,
5/17/24,3,19D,7565,0,0,1,1,0,
4/19/24,3,3B,3304,1,0,0,0,0,
4/26/24,3,3B,3304,1,0,0,0,0,
5/1/24,3,3B,3304,0,1,0,0,0,
5/8/24,3,3B,3304,1,0,1,0,0,
5/17/24,3,3B,3304,0,0,1,1,0,
4/19/24,3,2A,3462,1,0,0,0,0,
4/26/24,3,2A,3462,0,1,0,0,0,
5/1/24,3,2A,3462,0,0,1,0,0,
5/8/24,3,2A,3462,0,0,0,1,0,
5/17/24,3,2A,3462,0,0,0,1,0,
4/19/24,3,3A,7573,1,0,0,0,0,
4/26/24,3,3A,7573,0,1,0,0,0,
5/1/24,3,3A,7573,0,1,0,0,0,
5/8/24,3,3A,7573,0,0,1,0,0,
5/17/24,3,3A,7573,0,0,0,1,0,
4/19/24,3,6D,3796,2,0,0,0,0,
4/26/24,3,6D,3796,1,1,0,0,0,
5/1/24,3,6D,3796,0,2,0,0,0,
5/8/24,3,6D,3796,1,1,2,0,0,
5/17/24,3,6D,3796,0,0,0,3,1,
4/19/24,3,16A,7684,1,0,0,0,0,
4/26/24,3,16A,7684,1,0,0,0,0,
5/1/24,3,16A,7684,0,1,0,0,0,
5/8/24,3,16A,7684,0,1,0,0,0,
5/17/24,3,16A,7684,0,0,0,1,0,
4/26/24,3,16C,7539,1,0,0,0,0,
5/1/24,3,16C,7539,1,0,0,0,0,
5/8/24,3,16C,7539,0,0,1,0,0,
5/17/24,3,16C,7539,0,1,0,1,0,
4/26/24,3,3C,3831,1,0,0,0,0,
5/1/24,3,3C,3831,1,0,0,0,0,
5/8/24,3,3C,3831,0,0,1,0,0,
5/17/24,3,3C,3831,0,0,0,1,0,
4/26/24,3,0B,3056,1,0,0,0,0,
5/1/24,3,0B,3056,1,0,0,0,0,
5/8/24,3,0B,3056,1,0,0,0,0,
5/17/24,3,0B,3056,0,0,0,1,0,
4/26/24,3,0B,3919,1,0,0,0,0,
5/1/24,3,0B,3919,1,0,0,0,0,
5/8/24,3,0B,3919,0,1,0,0,0,
5/17/24,3,0B,3919,0,0,1,0,0,
4/26/24,3,1C,3906,1,0,0,0,0,
5/1/24,3,1C,3906,1,0,0,0,0,
5/8/24,3,1C,3906,1,0,0,0,0,
5/17/24,3,1C,3906,0,0,0,1,0,
4/26/24,3,3D,3799,1,0,0,0,0,
5/1/24,3,3D,3799,1,0,0,0,0,
5/8/24,3,3D,3799,0,1,0,0,0,
5/17/24,3,3D,3799,0,0,0,1,0,
4/26/24,3,4F,BSP,1,0,0,0,0,
5/1/24,3,4F,BSP,1,0,0,0,0,
5/8/24,3,4F,BSP,0,1,0,0,0,
5/17/24,3,4F,BSP,0,0,0,1,0,
4/26/24,3,5B,7677,1,0,0,0,0,
5/1/24,3,5B,7677,1,0,0,0,0,
5/8/24,3,5B,7677,0,1,0,0,0,
5/17/24,3,5B,7677,0,0,0,1,0,
4/26/24,3,0F,3015,1,0,0,0,0,
5/1/24,3,0F,3015,1,0,0,0,0,
5/8/24,3,0F,3015,0,1,0,0,0,
5/17/24,3,0F,3015,0,1,0,1,0,
4/26/24,3,7I,7670,1,0,0,0,0,
5/1/24,3,7I,7670,1,0,0,0,0,
5/8/24,3,7I,7670,0,1,0,0,0,
5/17/24,3,7I,7670,0,0,0,1,0,
4/26/24,3,4I,3797,1,0,0,0,0,
5/1/24,3,4I,3797,1,0,0,0,0,
5/8/24,3,4I,3797,0,1,0,0,0,
5/17/24,3,4I,3797,0,0,0,1,0,
4/12/24,4,9J,7591,1,0,0,0,0,
4/19/24,4,9J,7591,1,0,0,0,0,
4/26/24,4,9J,7591,2,0,0,0,0,
5/1/24,4,9J,7591,2,1,0,0,0,
5/8/24,4,9J,7591,2,1,0,0,0,
5/17/24,4,9J,7591,0,2,0,1,0,
4/19/24,4,0A,7696,1,0,0,0,0,
4/26/24,4,0A,7696,2,0,1,0,0,
5/1/24,4,0A,7696,2,0,0,1,0,
5/8/24,4,0A,7696,2,0,0,1,0,
5/17/24,4,0A,7696,0,0,2,1,0,
4/19/24,4,1A,3154,1,0,0,0,0,
4/26/24,4,1A,3154,1,0,0,0,0,
5/1/24,4,1A,3154,1,0,0,0,0,
5/8/24,4,1A,3154,0,1,0,0,0,
5/17/24,4,1A,3154,0,0,0,1,0,
4/19/24,4,6G,1411,1,0,0,0,0,
4/26/24,4,6G,1411,1,0,1,0,0,
5/1/24,4,6G,1411,1,0,0,1,0,
5/8/24,4,6G,1411,1,0,0,1,0,
5/17/24,4,6G,1411,0,1,0,0,1,
4/26/24,4,0J,3530,0,1,0,0,0,
5/1/24,4,0J,3530,1,1,0,0,0,
5/8/24,4,0J,3530,1,0,1,0,0,
5/17/24,4,0J,3530,0,0,0,2,0,
4/26/24,4,0H,7550,1,0,0,0,0,
5/1/24,4,0H,7550,0,1,0,0,0,
5/8/24,4,0H,7550,0,0,1,0,0,
5/17/24,4,0H,7550,0,0,0,1,0,
3/9/24,5,5D,7553,1,0,0,0,0,
3/18/24,5,5D,7553,1,0,0,0,0,
4/3/24,5,5D,7553,1,0,0,0,0,
4/12/24,5,5D,7553,1,1,0,0,0,
4/19/24,5,5D,7553,1,0,0,0,0,"record says ""1B0F"""
4/26/24,5,5D,7553,1,0,1,0,0,
5/2/24,5,5D,7553,0,1,0,1,0,
5/9/24,5,5D,7553,0,0,1,1,0,
5/17/24,5,5D,7553,0,0,0,1,1,
3/9/24,5,19B,3685,1,0,0,0,0,
3/18/24,5,19B,3685,1,0,0,0,0,
4/3/24,5,19B,3685,1,1,0,0,0,
4/12/24,5,19B,3685,1,1,0,0,0,
4/19/24,5,19B,3685,1,1,0,0,0,
4/26/24,5,19B,3685,1,1,0,0,0,
5/2/24,5,19B,3685,1,0,1,0,0,
5/9/24,5,19B,3685,1,0,0,1,0,
5/17/24,5,19B,3685,0,0,0,2,0,
4/3/24,5,0F,3152,1,0,0,0,0,
4/12/24,5,0F,3152,0,1,0,0,0,
4/19/24,5,0F,3152,1,1,0,0,0,
4/26/24,5,0F,3152,1,0,1,0,0,
5/2/24,5,0F,3152,1,0,0,1,0,
5/9/24,5,0F,3152,1,0,0,1,0,
5/17/24,5,0F,3152,0,0,0,1,1,
4/3/24,5,0E,3788,1,0,0,0,0,
4/12/24,5,0E,3788,0,1,0,0,0,
4/19/24,5,0E,3788,0,1,0,0,0,
4/26/24,5,0E,3788,1,0,1,0,0,
5/2/24,5,0E,3788,1,0,0,1,0,
5/9/24,5,0E,3788,0,0,0,1,0,"record says ""1S0B"""
5/17/24,5,0E,3788,0,0,0,0,1,
4/3/24,5,6A,3199,1,0,0,0,0,
4/12/24,5,6A,3199,0,1,0,0,0,
4/19/24,5,6A,3199,0,1,0,0,0,
4/26/24,5,6A,3199,2,0,1,0,0,
5/2/24,5,6A,3199,2,0,0,1,0,
5/9/24,5,6A,3199,1,1,0,1,0,
5/17/24,5,6A,3199,0,0,0,2,1,
4/3/24,5,10D,3546,1,0,0,0,0,
4/12/24,5,10D,3546,0,0,0,0,0,"record says ""-"""
4/19/24,5,10D,3546,1,0,0,0,0,
4/26/24,5,10D,3546,2,0,0,0,0,
5/2/24,5,10D,3546,0,0,0,0,0,NT
5/9/24,5,10D,3546,0,0,0,0,0,NT
5/17/24,5,10D,3546,0,0,0,0,0,NT
4/3/24,5,11E,YTP,2,0,0,0,0,"record says ""-"""
4/12/24,5,11E,YTP,0,0,0,0,0,"record says ""-"""
4/19/24,5,11E,YTP,0,0,0,0,0,"record says ""NPNT"""
4/26/24,5,11E,YTP,0,0,0,0,0,"record says ""-"""
5/2/24,5,11E,YTP,0,0,0,0,0,"record says ""-"""
5/9/24,5,11E,YTP,0,0,0,0,0,"record says ""-"""
5/17/24,5,11E,YTP,0,0,0,0,0,"record says ""-"""
4/3/24,5,17A,3833,1,0,0,0,0,
4/12/24,5,17A,3833,1,0,0,0,0,
4/19/24,5,17A,3833,2,0,0,0,1,
4/26/24,5,17A,3833,2,0,0,0,0,
5/2/24,5,17A,3833,1,1,0,0,0,
5/9/24,5,17A,3833,0,1,1,0,0,
5/17/24,5,17A,3833,0,0,0,2,0,
4/3/24,5,19A,7555,1,0,0,0,0,
4/12/24,5,19A,7555,0,1,0,0,0,
4/19/24,5,19A,7555,0,1,0,0,0,
4/26/24,5,19A,7555,1,0,1,0,0,
5/2/24,5,19A,7555,1,0,0,1,0,
5/9/24,5,19A,7555,0,0,1,1,0,
5/17/24,5,19A,7555,0,0,0,2,0,
4/3/24,5,19D,3135,1,1,0,0,0,
4/12/24,5,19D,3135,1,1,0,0,0,
4/19/24,5,19D,3135,1,1,0,0,0,
4/26/24,5,19D,3135,1,0,0,1,0,
5/2/24,5,19D,3135,0,1,0,1,0,
5/9/24,5,19D,3135,0,0,1,1,0,
5/17/24,5,19D,3135,0,0,0,1,1,
4/3/24,5,17H,3697,1,0,0,0,0,
4/12/24,5,17H,3697,0,1,0,0,0,
4/19/24,5,17H,3697,1,1,0,0,0,
4/26/24,5,17H,3697,1,0,0,0,0,
5/2/24,5,17H,3697,0,1,0,0,0,
5/9/24,5,17H,3697,0,0,0,0,2,
5/17/24,5,17H,3697,0,0,0,0,2,
4/3/24,5,18I,3888,1,0,0,0,0,
4/12/24,5,18I,3888,0,1,0,0,0,
4/19/24,5,18I,3888,0,1,0,0,0,
4/26/24,5,18I,3888,1,0,1,0,0,
5/2/24,5,18I,3888,1,0,0,1,0,
5/9/24,5,18I,3888,0,0,1,1,0,
5/17/24,5,18I,3888,0,0,0,1,1,
4/3/24,5,19G,5042,1,0,0,0,0,
4/12/24,5,19G,5042,1,0,0,0,0,
4/19/24,5,19G,5042,2,1,0,0,0,
4/26/24,5,19G,5042,2,0,1,0,0,
5/2/24,5,19G,5042,1,1,0,1,0,
5/9/24,5,19G,5042,0,0,2,1,0,
5/17/24,5,19G,5042,0,0,0,2,0,"record says ""2S1L"" (one lost)"
4/12/24,5,17E,3869,1,0,0,0,0,
4/19/24,5,17E,3869,1,0,0,0,0,
4/26/24,5,17E,3869,1,1,0,0,0,
5/2/24,5,17E,3869,1,0,1,0,0,
5/9/24,5,17E,3869,0,0,1,0,1,
5/17/24,5,17E,3869,0,0,0,0,2,
4/12/24,5,18F,3473,1,0,0,0,0,
4/19/24,5,18F,3473,0,1,0,0,0,
4/26/24,5,18F,3473,1,1,0,0,0,
5/2/24,5,18F,3473,1,1,0,0,0,
5/9/24,5,18F,3473,0,1,0,1,0,
5/17/24,5,18F,3473,0,0,0,1,1,
4/12/24,5,16A,3127,1,0,0,0,0,
4/19/24,5,16A,3127,1,0,0,0,0,
4/26/24,5,16A,3127,1,0,0,0,0,
5/2/24,5,16A,3127,0,1,0,0,0,
5/9/24,5,16A,3127,0,0,0,1,0,
5/17/24,5,16A,3127,0,0,0,1,0,
4/12/24,5,15G,7546,1,0,0,0,0,
4/19/24,5,15G,7546,2,0,0,0,0,
4/26/24,5,15G,7546,2,0,1,0,0,
5/2/24,5,15G,7546,2,0,1,0,0,
5/9/24,5,15G,7546,0,0,2,0,1,
5/17/24,5,15G,7546,0,0,0,2,1,
4/12/24,5,16J,3811,1,0,0,0,0,
4/19/24,5,16J,3811,1,0,0,0,0,
4/26/24,5,16J,3811,1,1,0,0,0,
5/2/24,5,16J,3811,1,0,1,0,0,
5/9/24,5,16J,3811,0,1,0,1,0,
5/17/24,5,16J,3811,0,0,0,2,0,
4/12/24,5,14J,3022,1,0,0,0,0,
4/19/24,5,14J,3022,1,0,0,0,0,
4/26/24,5,14J,3022,1,0,0,0,0,
5/2/24,5,14J,3022,0,1,0,0,0,
5/9/24,5,14J,3022,0,1,0,0,0,
5/17/24,5,14J,3022,0,0,0,1,0,
4/12/24,5,15D,3125,1,0,0,0,0,
4/19/24,5,15D,3125,0,1,0,0,0,
4/26/24,5,15D,3125,1,0,1,0,0,
5/2/24,5,15D,3125,1,0,1,0,0,
5/9/24,5,15D,3125,1,1,0,1,0,
5/17/24,5,15D,3125,0,0,0,0,0,"record says ""3L"" (three lost)"
4/12/24,5,14E,3677,1,0,0,0,0,
4/19/24,5,14E,3677,1,0,0,0,0,
4/26/24,5,14E,3677,3,0,0,0,0,
5/2/24,5,14E,3677,2,1,1,0,0,
5/9/24,5,14E,3677,2,0,1,1,0,
5/17/24,5,14E,3677,0,0,0,3,1,
4/12/24,5,11I,5036,1,0,0,0,0,[dupe records; combining the two records in entry]
4/19/24,5,11I,5036,1,0,0,0,0,[dupe records; combining the two records in entry]
4/26/24,5,11I,5036,1,0,1,0,0,[dupe records; combining the two records in entry]
5/2/24,5,11I,5036,1,0,0,1,0,[dupe records; combining the two records in entry]
5/9/24,5,11I,5036,0,0,1,0,1,[dupe records; combining the two records in entry]
5/17/24,5,11I,5036,0,0,0,1,1,[dupe records; combining the two records in entry]
4/12/24,5,11I,3807,1,0,0,0,0,
4/19/24,5,11I,3807,0,1,0,0,0,
4/26/24,5,11I,3807,1,0,1,0,0,
5/2/24,5,11I,3807,1,0,1,0,0,
5/9/24,5,11I,3807,0,1,0,1,0,
5/17/24,5,11I,3807,0,0,0,1,1,
4/12/24,5,10H,5034,1,0,0,0,0,
4/19/24,5,10H,5034,1,1,0,0,0,
4/26/24,5,10H,5034,0,1,1,0,0,
5/2/24,5,10H,5034,0,0,2,0,0,
5/9/24,5,10H,5034,1,0,0,0,2,
5/17/24,5,10H,5034,0,0,1,0,2,
4/12/24,5,9C,3836,1,0,0,0,0,
4/19/24,5,9C,3836,2,0,0,0,0,
4/26/24,5,9C,3836,1,1,0,0,0,
5/2/24,5,9C,3836,0,1,1,0,0,
5/9/24,5,9C,3836,0,0,1,1,0,
5/17/24,5,9C,3836,0,0,0,2,0,
4/12/24,5,9B,3198,1,0,0,0,0,
4/19/24,5,9B,3198,1,0,0,0,0,
4/26/24,5,9B,3198,1,0,0,0,0,
5/2/24,5,9B,3198,0,1,0,0,0,
5/9/24,5,9B,3198,0,0,1,0,0,
5/17/24,5,9B,3198,0,0,0,1,0,
4/12/24,5,8C,3810,2,0,0,0,0,
4/19/24,5,8C,3810,1,1,0,0,0,
4/26/24,5,8C,3810,0,1,1,0,0,
5/2/24,5,8C,3810,1,1,1,0,0,
5/9/24,5,8C,3810,1,0,0,2,0,
5/17/24,5,8C,3810,0,0,0,2,1,
4/12/24,5,9F,5022,1,0,0,0,0,
4/19/24,5,9F,5022,1,0,0,0,0,
4/26/24,5,9F,5022,1,0,0,0,0,
5/2/24,5,9F,5022,0,1,0,0,0,
5/9/24,5,9F,5022,0,0,0,1,0,
5/17/24,5,9F,5022,0,0,0,0,0,NP
4/12/24,5,11B,3649,1,0,0,0,0,
4/19/24,5,11B,3649,0,1,0,0,0,
4/26/24,5,11B,3649,0,1,0,0,0,
5/2/24,5,11B,3649,1,1,0,0,0,
5/9/24,5,11B,3649,1,0,0,1,0,
5/17/24,5,11B,3649,0,0,0,2,0,
4/12/24,5,4I,3338,1,0,0,0,0,
4/19/24,5,4I,3338,1,0,0,0,0,
4/26/24,5,4I,3338,1,0,0,0,0,
5/2/24,5,4I,3338,0,0,1,0,0,
5/9/24,5,4I,3338,1,0,0,1,0,
5/17/24,5,4I,3338,0,0,0,1,1,
4/12/24,5,3J,3877,1,0,0,0,0,
4/19/24,5,3J,3877,1,0,0,0,0,
4/26/24,5,3J,3877,0,1,0,0,0,
5/2/24,5,3J,3877,0,1,0,0,0,
5/9/24,5,3J,3877,0,0,1,0,0,
5/17/24,5,3J,3877,0,0,0,0,0,NP
4/19/24,5,3A,3197,2,0,0,0,0,
4/26/24,5,3A,3197,2,0,0,0,0,
5/2/24,5,3A,3197,0,2,0,0,0,
5/9/24,5,3A,3197,2,0,2,0,0,
5/17/24,5,3A,3197,0,2,0,2,0,
4/19/24,5,3C,7519,1,0,0,0,0,
4/26/24,5,3C,7519,0,1,0,0,0,
5/2/24,5,3C,7519,1,1,0,0,0,
5/9/24,5,3C,7519,1,0,1,0,0,
5/17/24,5,3C,7519,0,0,0,2,0,
4/19/24,5,3C,3148,1,0,0,0,0,
4/26/24,5,3C,3148,1,0,0,0,0,
5/2/24,5,3C,3148,0,1,0,0,0,
5/9/24,5,3C,3148,0,0,1,0,0,
5/17/24,5,3C,3148,0,0,0,1,0,
4/19/24,5,4C,3560,1,0,0,0,0,
4/26/24,5,4C,3560,1,0,0,0,0,
5/2/24,5,4C,3560,0,1,0,0,0,
5/9/24,5,4C,3560,0,0,1,0,0,
5/17/24,5,4C,3560,0,0,0,1,0,
4/19/24,5,4C,5026,1,0,0,0,0,
4/26/24,5,4C,5026,1,0,0,0,0,
