Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,notes,tag.pulled
2024,3,7573,3,A,3,19,2,44,3; 2,,
2024,3,3304,3,B,4,19,2,41,3.5; 5,,
2024,3,3313,3,B,1,21.5,0,,,,
2024,3,3651,3,B,0,,,,,NP,
2024,3,3831,4,B,2,21,1,30,4,,
2024,3,3461,4,C,1,17,0,,,accidentally pulled leaf,
2024,3,3797,4,I,3,25,1,52,8.5,,
2024,3,7677,5,E,2,17,1,27,4,,
2024,3,7502,5,F,0,,,,,NP,
2024,3,7678,5,I,0,,,,,NP,
2024,3,3846,6,D,3,22,2,39,4.5; 4,,
2024,3,3796,6,E,4,17.5,2,31,2; 6,phen green+gold umbels,
2024,3,3798,6,E,4,17,2,35,3; 6,in phenology 3796 two plants; phen white+silver,
2024,3,7670,7,I,2,27.5,1,27.5,3,,
2024,3,7548,9,G,6,23,3,50,9; 5; 4,,
2024,3,7684,14,A,2,13,1,23,4,,
2024,3,3759,15,B,5,20.5,5,51,13; 2.5; 14; 2; 3,,
2024,3,7552,15,C,7,25,3,55,7.5; 8.5; 4,dead?,
2024,3,7539,15,C,4,19,2,36.5,2.5; 9,,
2024,3,7565,18,E,2,19,2,39,4; 5,,
2024,4,7696,0,A,4,13.5,3,28,3.5; 6.5; 2,,
2024,4,3656,0,D,0,,,,,NP,
2024,4,3020,0,D,2,14,0,,,,
2024,4,7550,0,H,1,19,1,33.5,6,,
2024,4,3730,0,I,3,17,2,41,2.5; 3,,
2024,4,3154,1,A,2,17,1,34,6,,
2024,4,7549,1,B,1,7,0,,,,
2024,4,7659,1,B,0,,,,,NP; in 4B,
2024,4,3812,1,D,1,12,0,,,,
2024,4,7585,1,E,2,11,0,,,,
2024,4,3064,1,H,1,13,0,,,,
2024,4,3075,1,I,0,,,,,NP,
2024,4,3152,1,I,1,4.5,0,,,,
2024,4,7666,2,C,2,6,0,,,,
2024,4,7649,2,D,2,9,0,,,,
2024,4,7658,3,C,0,,,,,NP,
2024,4,3787,3,G,1,12.5,0,,,,
2024,4,3364,3,H,0,,,,,NP,
2024,4,3596,3,H,0,,,,,NP,
2024,4,3365,3,J,1,8,0,,,,
2024,4,7667,4,B,0,,,,,NP,
2024,4,7650,4,C,1,6.5,0,,,,
2024,4,3007,4,H,2,21,0,,,,
2024,4,3165,4,H,1,22.5,0,,,,
2024,4,3680,4,J,0,,,,,NP,
2024,4,3459,5,H,1,15,0,,,,
2024,4,1411,6,G,3,17,1,37,4,,
2024,4,3786,6,H,3,20,0,,,,
2024,4,3983,7,I,1,13,0,,,,
2024,4,3122,8,J,0,,,,,NP; lots of digging,
2024,4,7591,9,J,3,18,2,32,2.5; 5,,
2024,4,7545,9,J,3,18.5,1,27,3,,
2024,4,2230,10,J,3,25,0,,,,
2024,4,3103,11,O,0,,,,,NPNT,
2024,4,3555,11,T,0,,,,,NPNT,
2024,4,3750,12,P,0,,,,,NPNT,
2024,4,3342,14,N,0,,,,,NPNT,
2024,4,3563,15,R,0,,,,,NPNT,
2024,4,3182,16,H,0,,,,,NP; tag pulled,TRUE
2024,4,3321,16,L,1,19.5,0,,,,
2024,4,3735,16,M,0,,,,,NPNT,
2024,4,3732,16,M,0,,,,,NP; tag pulled,TRUE
2024,4,7510,17,G,1,19,0,,,,
2024,4,7531,17,H,1,19,0,,,,
2024,4,7590,17,H,1,23.5,0,,,,
2024,4,7509,18,I,0,,,,,NP; tag pulled,TRUE
2024,4,3634,18,O,0,,,,,NPNT,
2024,4,3090,18,P,0,,,,,NP; tag pulled,TRUE
2024,5,3490,0,F,1,12.5,0,,,leaf senesced,
2024,5,3788,0,F,2,25,1,20,2.5,leaf senesced,
2024,5,3024,0,H,1,20,0,,,,
2024,5,3328,0,H,0,,,,,NPNT,
2024,5,3467,0,H,0,,,,,NP,
2024,5,3195,1,A,1,13,0,,,,
2024,5,3152,1,G,2,16,2,30,4; NA,second umbel dead,
2024,5,5027,1,H,1,,,,,alive but no measurement,
2024,5,7570,1,H,1,17.5,0,,,,
2024,5,3108,1,I,2,14,1,13,1,,
2024,5,3105,1,J,1,17.5,0,,,,
2024,5,3468,1,J,2,18.5,1,17,3,,
2024,5,3148,2,C,6,14,3,30,4; 5; 2,possivle 4th umbel as pod; check phen,
2024,5,3161,2,F,4,19,2,30,2.5; 2.5,,
2024,5,3499,2,G,2,20.5,0,,,,
2024,5,7512,2,G,1,22,0,,,,
2024,5,5029,2,H,0,,,,,NP,
2024,5,3508,2,I,0,,,,,NPNT,
2024,5,3197,3,A,5,14.5,4,27,3.5; 5; 2; 2.5,,
2024,5,3193,3,B,0,,,,,NPNT,
2024,5,3560,3,B,4,15.5,1,19.5,3,,
2024,5,7564,3,B,3,16,2,33,6; 1,bsp?,
2024,5,3194,3,C,0,,,,,NPNT,
2024,5,3820,3,C,3,15,2,29,3; 2.5,,
2024,5,7501,3,C,3,17,1,25,2.5,,
2024,5,5026,3,D,3,10,2,22,2.5; 0.5,,
2024,5,7519,3,D,2,14,2,31,4; 2,,
2024,5,7522,3,F,5,25,2,39,3.5; 1.5,,
2024,5,3479,3,G,3,20,1,37.5,4,,
2024,5,3987,3,H,1,2.5,0,,,,
2024,5,3998,3,H,0,,,,,NP,
2024,5,3125,3,I,2,14,1,19.5,2.5,,
2024,5,3338,3,I,2,7,2,15,1; 1,,
2024,5,3877,3,J,1,10,1,18,3.5,,
2024,5,7580,3,J,2,8,1,14,2,,
2024,5,3199,4,B,5,13,3,30.5,1.5; 2; 3.5,one dead umbel maybe missing from phen,
2024,5,3466,4,B,2,16,1,12.5,1.5,,
2024,5,3465,4,C,3,17,2,27.5,2.5; 1.5,,
2024,5,3196,4,D,4,15,3,20.5,3; 3.5,third umbel bud not measured,
2024,5,7553,4,E,2,16,1,29,5,,
2024,5,3200,4,F,0,,,,,NP,
2024,5,7596,4,G,0,,,,,NP,
2024,5,7581,4,J,0,,,,,NP; tag pulled,TRUE
2024,5,3622,5,D,0,,,,,NP; may be one of 3622's two stems,
2024,5,5021,5,F,3,8,1,15,1.5,,
2024,5,3484,5,H,0,,,,,NP,
2024,5,3706,5,I,0,,,,,NP; tag pulled; new plant,TRUE
2024,5,7561,5,I,0,,,,,NP,
2024,5,3191,6,E,2,10.5,1,23.5,2.5,longest leaf missing,
2024,5,7543,6,E,1,12,0,,,leaf senesced,
2024,5,3708,6,F,0,,,,,NP,
2024,5,7525,6,F,0,,,,,NP; tag pulled,TRUE
2024,5,5017,6,H,2,17,1,15.5,1,,
2024,5,7524,6,H,2,14,0,,,,
2024,5,3941,7,B,3,12,1,27.5,2.5,,
2024,5,3684,7,E,1,9.5,0,,,,
2024,5,7597,7,F,2,14,1,21,4,,
2024,5,3120,7,G,3,14,1,17,1,,
2024,5,3714,7,G,6,11,3,30,6; 1.5,this umbel bud not measured,
2024,5,3803,8,A,0,,,,,NP; tag pulled,TRUE
2024,5,3810,8,B,3,11,2,22,2.5; 1.5,,
2024,5,7542,8,D,1,10,0,,,,
2024,5,2055,8,F,2,,1,7,1.5,longest leaf gone; second longest 1cm; tag is 5022,
2024,5,3034,8,G,1,10.5,0,,,,
2024,5,3644,8,H,0,,,,,NP,
2024,5,3198,9,B,2,10,1,24,3,,
2024,5,3836,9,C,4,13,2,23,3; 3.5,,
2024,5,3170,9,D,0,,,,,NP; tag pulled,TRUE
2024,5,3546,9,F,3,9,1,19,3,measured leaf senesced; 5309 in phen,
2024,5,3896,10,F,0,,,,,NPNT,
2024,5,5034,10,H,3,12.5,3,17.5,2; 1; 1,,
2024,5,3649,11,A,4,11,1,26.5,2,,
2024,5,3074,11,C,3,13,2,27,2.5; 1,,
2024,5,3471,11,D,1,,0,,,leaf senesced and not measured,
2024,5,3807,11,H,4,13,1,32,4,,
2024,5,5036,11,H,2,12.5,1,18.5,3,,
2024,5,3615,11,J,4,19.5,2,29,4; 1.5,,
2024,5,5045,12,B,3,17,1,22,4,uncounted pod check phen,
2024,5,3516,12,C,1,6.5,0,,,measured leaf senesced,
2024,5,3476,12,E,2,9,1,,,,
2024,5,3109,12,F,3,10,2,14,1; 1,,
2024,5,3361,13,A,4,13.5,2,28,3; 3.5,,
2024,5,5044,13,B,,,,,,is 3661 fix/merge old records; tag pulled,TRUE
2024,5,3677,13,G,6,13,4,27.5,1.5; 4; 3; 3.5,,
2024,5,3566,13,H,0,,,,,NP,
2024,5,3470,13,I,3,12.5,2,20,2; 1,,
2024,5,3093,14,A,4,16.5,2,32,4; 4.5,,
2024,5,3095,14,B,0,,,,,NPNT,
2024,5,3125,14,C,3,15,2,30.5,2; NA,one umbel dead unmeasured,
2024,5,3988,14,C,0,,,,,NP; tag pulled,TRUE
2024,5,3153,14,D,0,,,,,NPNT,
2024,5,3010,14,G,5,16,2,18,4; 2,,
2024,5,7546,14,G,3,7.5,1,23,3,measured senesced leaf,
2024,5,3710,14,H,3,11.5,1,14,2,,
2024,5,3022,14,J,3,11,1,27.5,5,,
2024,5,5043,15,F,2,11,1,32,2.5,,
2024,5,3186,15,G,0,,,,,NPNT,
2024,5,3984,15,H,3,13.5,1,21.5,1.5,,
2024,5,3488,15,I,6,15.5,4,28.5,4; 3.5; 3.5; 1,small umbel possibly missed in phen,
2024,5,3127,16,B,2,8.5,1,21,3,,
2024,5,3833,16,B,4,13.5,2,28,4; 3,,
2024,5,3124,16,D,3,21,1,40,4,,
2024,5,3067,16,F,3,10.5,2,17,2; 0.5,,
2024,5,3697,16,G,4,14.5,2,24.5,3; 2,,
2024,5,3811,16,J,5,15.5,2,34.5,4; 3.5,,
2024,5,3180,17,B,,,,,,delete this record (duplicate),
2024,5,3342,17,B,0,,,,,NPNT,
2024,5,3073,17,G,1,11.5,0,,,plant behind tag/pin,
2024,5,3817,17,H,2,15,1,22.5,3,,
2024,5,3888,17,I,3,15,2,32.5,4; 2,small umbel is dead,
2024,5,3474,18,A,2,13,0,,,,
2024,5,3685,18,B,5,13.5,2,32.5,3.5; 2.5,,
2024,5,7555,18,B,4,10,2,18.5,3.5; 2.5,,
2024,5,3180,18,C,1,10.5,0,,,,
2024,5,3135,18,D,3,13.5,2,37.5,4; 6,,
2024,5,3178,18,E,0,,,,,NPNT,
2024,5,3869,18,E,3,10.5,2,21.5,4; 1.5,,
2024,5,3473,18,G,4,10,2,33,3.5; 3,,
2024,5,7526,19,E,1,9,1,18.5,2.5,,
2024,5,3713,19,F,1,20.5,0,,,,
2024,5,5042,19,G,5,14,3,31,5; 4; 2,,
2024,5,3663,19,I,3,12.5,1,33.5,6.5,,
2024,6,3070,4,G,4,27,3,54,5.5; 2.5; 8,,
2024,6,3008,4,J,2,16.5,1,23,4,,
2024,6,3179,5,E,0,,,,,NP,
2024,6,3790,5,I,3,18,2,23,3; 2.5,,
2024,6,3400,8,E,3,16,2,23,3; 5,,
2024,6,3048,8,J,2,18.5,1,55,6,stalk broke when measuring,
2024,6,3791,9,J,0,,,,,NP,
2024,6,3518,10,I,2,17,1,32.5,4,,
2024,6,3319,11,A,0,,,,,NP,
2024,6,3753,11,A,5,16.5,4,52,5; 2; 5; 4,,
2024,6,3360,12,C,3,13,2,37.5,4; 1.5,,
2024,6,3345,12,D,2,17.5,1,46,8,,
2024,6,3358,12,D,8,18,5,55,5; 4; 4.5; 5; 3.5,,
2024,6,3164,13,A,1,15,1,44.5,9,tag is 3789,
2024,6,7587,13,A,3,14.5,1,46,8,,
2024,6,3456,13,B,0,,,,,NPNT,
2024,6,3489,13,B,3,14,2,40,4.5; 3.5,longest leaf senesced; measured second longest,
2024,6,3669,14,E,4,14,3,46,3; 4; 3,,
2024,6,3372,14,G,3,14.5,2,31,5; 3,,
2024,6,3373,14,H,1,20,,,,umbel(s) gone; leaf broke while measuring,
2024,6,3141,15,E,2,14,1,32.5,4,,
2024,6,3777,15,G,2,12,1,22,1.5,,
2024,6,3733,15,G,0,,,,,NP; tag pulled,TRUE
2024,6,3725,15,G,0,,,,,NP,
2024,6,3136,16,B,2,20,2,4,4.5; 2.5,,
2024,6,3887,16,D,5,7.5,2,37,2.5; 1.5,longest leaf senesced; measured second longest,
2024,6,3648,16,F,2,14.5,1,20.5,2,,
2024,6,3630,16,I,1,17.5,1,38,5,,
2024,6,3465,17,F,1,18,0,,,,
2024,6,3767,17,G,1,18,0,,,,
2024,6,3743,18,A,0,,,,,NPNT,
2024,6,3005,18,E,1,18,0,,,,
2024,6,3140,18,F,2,23,1,23,2.5,,
2024,6,3173,18,F,0,,,,,NP,
2024,6,3955,18,G,1,7,NA,,,missing umbel(s),
2024,6,3374,18,H,0,,,,,sensesced? NP,
2024,6,3643,18,H,3,16,3,35,5; 2; 2.5,,
2024,6,3466,19,B,3,19,2,42,4; 2.5,,
2024,6,3142,19,D,1,16.5,0,,,,
2024,6,3570,19,F,1,14.5,,,,shouldn't be in phen?,
2024,6,3773,19,F,2,14.5,1,28,3,in boundary so not in phen,
2024,6,3729,19,F,5,21,3,40.5,5; 2; 4,,
2024,7,3453,0,C,0,,,, ,NPNT,
2024,7,3981,0,D,4,20,2,26.5,1.5; 1.5,one measured umbel dead,
2024,7,3308,0,I,0,,,,,NPNT,
2024,7,5050,1,A,2,24,1,28,3.5,,
2024,7,3069,1,C,2,24,1,37.5,3.5,,
2024,7,5051,1,F,0,,,,,NP; tag pulled,TRUE
2024,7,3370,2,A,3,33,2,33,1.5; 4.5,first measured umbel is dead,
2024,7,5049,2,D,5,24.5,3,35,1.5; 5; 3,first measured umbel is dead and shriveled,
2024,7,3452,2,E,4,28,3,37,3; 0.5; 2.5,,
2024,7,3375,3,C,4,29.5,2,3,2.5; 1.5,,
2024,7,3636,3,J,2,26,0,,,tag 5cm from plant; tag in 3H,
2024,7,5052,3,J,4,20,4,31.5,1.5; 3; 3,one umbel gone and unmeasured,
2024,7,3450,4,H,4,26,3,56,7; 8.5; 8,,
2024,7,5053,4,J,0,,,,,NPNT,
2024,7,7579,5,C,2,27.5,1,43.5,4.5,,
2024,7,3401,5,H,3,26.5,2,55.5,6.5; 3,,
2024,7,3089,5,I,2,23.5,1,32,2.5,,
2024,7,7544,6,G,4,16.5,2,64.5,4.5; 5,,
2024,7,3443,7,A,6,30.5,3,62,2.5; 3.5; 3,not in phen b/c on plot edge,
2024,7,3044,7,D,4,28,3,60,4; 4; 2.5,,
2024,7,3688,7,H,0,,,,,NP,
2024,7,3368,7,I,2,22,1,27,1.5,,
2024,7,3874,8,C,3,28.5,0,47,3.5,,
2024,7,3100,9,B,4,31.5,2,43,6.5; 3.5,,
2024,7,5047,9,B,5,26.5,3,49,4.5; 4.5; 6,,
2024,7,3296,9,C,6,23.5,2,43,2.5; 3.5,tag says 3298,
2024,7,3994,9,J,8,21.5,3,48.5,5.5; 3; 3,,
2024,7,3866,10,B,5,25,3,50.5,9.5; 2.5; 3,,
2024,7,7529,11,A,0,,,,,NP,
2024,7,5048,11,E,6,26,3,47.5,4; 4; 5,,
2024,7,3402,11,I,1,39.5,0,,,,
2024,7,5054,11,J,1,28,1,32,3,,
2024,7,3131,12,F,0,,,,,NPNT,
2024,7,3403,12,I,2,20.5,1,51,6,,
2024,7,3406,12,J,2,10,1,24.5,2.5,,
2024,7,5055,12,J,0,,,,,NPNT,
2024,7,3513,13,C,0,,,,,NPNT,
2024,7,3696,13,D,0,,,,,NPNT,
2024,7,5041,13,G,3,28.5,2,45,4; 3,,
2024,7,3357,13,G,0,,,,,NPNT,
2024,7,3150,13,G,3,30,2,39,2; 3,,
2024,7,5056,14,J,4,25.5,2,57.5,5; 3.5,,
2024,7,3447,15,D,1,14.5,1,51.5,6,measured leaf very senesced,
2024,7,3177,15,E,2,19.5,1,51.5,2.5,,
2024,7,3404,15,H,0,,,,,NPNT,
2024,7,3405,15,H,3,24.5,1,1,2,missed in phen? Flowering today,
2024,7,3409,16,B,3,21.5,1,52.5,2,,
2024,7,3446,16,C,0,,,,,NPNT,
2024,7,3407,16,D,3,25,1,50.5,6,,
2024,7,5032,16,D,11,26,8,60,2.5; 8; 0; 4; 4; 4.5; 4; 4.5,,
2024,7,5040,16,D,2,23.5,1,29.5,2,,
2024,7,7538,16,F,1,23,1,41,3.5,,
2024,7,3408,17,C,3,27.5,1,33,5,,
2024,7,5037,17,E,2,18.5,1,45,3.5,,
2024,7,5038,17,J,0,,,,,NPNT,
2024,7,3176,18,I,0,,,,,NP; moss,
2024,7,7520,18,I,0,,,,,NP; tag pulled,TRUE
2024,9,3639,11,0.09,2,23,1,34,2.5,11K=11A; phen: flowering 17 may,
2024,9,3059,11,0.21,0,,,,,NPNT,
2024,9,3731,11,L,0,,,,,11B (div); NP,
2024,9,3609,11,P,3,22.5,1,46.5,4,11E (div); phen: flp 17 may,
2024,9,3770,12,L,0,,,,,12B (div); NP,
2024,9,3690,12,R,2,15.5,0,,,12H (div),
2024,9,3442,13,0.08,2,23,0,,,13B (div),
2024,9,3183,13,0.19,0,,,,,13B (div); NPNT,
2024,9,3143,14,0.95,4,19,1,44,7,14J (div); phen flp 17 may,
2024,9,7551,16,F,0,,,,,NPNT; moss,
2024,9,7653,16,I,0,,,,,NPNT,
2024,9,3666,17,H,0,,,,,NPNT,
2024,9,3683,17,H,4,33,0,,,,
2024,10,3190,1,B,3,25.5,1,38,5,,
2024,10,7513,4,C,2,17,1,28.5,2.5,,
2024,10,7682,4,E,0,,,,,NP,
2024,10,3547,4,F,3,21,2,53,5.5; 5,,
2024,10,3378,5,D,2,30,0,,,,
2024,10,3353,5,E,3,25,2,34,4; 1.5,,
2024,10,3655,6,B,2,22,2,44.5,3.5; 5,,
2024,10,7556,6,D,0,,,,,NP,
2024,10,7559,7,C,0,,,,,NP,
2024,10,7586,7,C,0,,,,,NP; brome,
2024,10,3929,7,C,2,18.5,1,34.5,4.5,black spots on leaves; was 7559 in phen,
2024,10,7692,8,F,1,25.5,0,,,,
2024,10,7681,8,F,2,20,1,59.5,3,7692 in phen,
2024,10,7698,9,D,4,22.5,2,69.5,7; 5.5,,
2024,12,3425,2,I,3,17,2,34,3; 6,,
2024,12,3002,3,B,3,15.5,1,41,7,,
2024,12,3130,3,B,0,,,,,NPNT,
2024,12,3133,5,C,2,14.5,1,30,3.5,,
2024,12,3448,6,F,4,14.5,2,53,6.5; 4.5,,
2024,12,3135,7,G,6,14,3,37,3; 4; 5,,
2024,12,3424,7,H,3,15,2,43.5,2; 7,,
2024,12,7540,8,C,0,,,,,NPNT; Dactylis,
2024,12,3445,10,B,3,16.5,2,26,2; 1.5,,
2024,12,3420,10,H,1,17.5,0,,,ant colony,
2024,12,3181,11,B,1,16,0,,,plant behind tag/pin,
2024,12,7578,11,B,3,19,1,32,6.5,,
2024,12,3145,11,D,2,17,1,24,2.5,,
2024,12,7694,11,G,0,,,,,NP,
2024,12,7688,11,G,1,7,0,,,,
2024,12,3551,11,H,0,,,,,NPNT,
2024,12,3876,11,H,2,19.5,0,,,moss,
2024,12,7699,11,I,0,,,,,NP,
2024,12,3449,12,B,1,16.5,1,21,3,,
2024,12,7530,12,E,2,14.5,1,15,3.5,moss,
2024,12,7673,12,F,1,8,0,,,,
2024,12,3137,12,G,1,11.5,0,,,,
2024,12,7686,12,G,1,7.5,0,,,,
2024,12,7668,12,G,1,6.5,0,,,,
2024,12,7669,13,F,1,6.5,0,,,,
2024,12,3131,13,H,1,18,0,,,,
2024,12,3134,13,H,3,17.5,2,33,3; 1,,
2024,12,3423,13,H,5,22.5,1,36.5,4.5,3422 in phen,
2024,12,3422,13,H,1,20.5,0,,,,
2024,12,3815,13,H,0,,,,,NPNT,
2024,12,7674,13,J,0,,,,,NP,
2024,12,3369,14,C,1,12,0,,,moss,
2024,12,3439,14,G,2,15.5,0,,,,
2024,12,3761,14,G,1,12.5,0,,,,
2024,12,7690,14,J,1,7.5,0,,,,
2024,12,3578,15,A,6,16.5,4,41,4.5; 4.5; 4.5; 3,,
2024,12,3049,15,B,0,,,,,NP,
2024,12,3421,15,C,0,,,,,NP; moss,
2024,12,3834,15,C,0,,,,,NP; tag pulled; moss,TRUE
2024,12,3366,15,D,0,,,,,NP; moss; tag in ambiguous cluster,
2024,12,3354,15,G,0,,,,,under hose; NP,
2024,12,3129,15,H,3,12.5,2,28.5,3; 1.5,,
2024,12,3146,16,B,3,18.5,1,32.5,3.5,missed in phen?,
2024,12,3140,16,C,1,9,0,,,moss,
2024,12,3149,16,C,0,,,,,NP,
2024,12,3410,16,C,1,15,0,,,moss,
2024,12,3376,16,E,1,11.5,0,,,,
2024,12,7507,16,F,0,,,,,NP,
2024,12,7541,16,F,1,14.5,0,,,,
