Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,,,
2023,2,3413,2,E,3,10,1,21,3,2018,,,,,,,
2023,2,3619,3,A,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3585,3,C,0,NA,NA,NA,NA,?,NP. Tag pulled.,1,,,,,
2023,2,3480,3,G,1,13.5,1,39,5.5,2018,,,,,,,
2023,2,3654,3,G,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3964,3,H,0,NA,NA,NA,NA,2021,NP. Tag pulled.,1,,,,,
2023,2,3013,3,I,1,23,1,13,NA,2017,dead umbel. Did not track phenology.,,,,,,
2023,2,3847,4,E,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3522,4,E,1,NA,1,20,3.5,2021,Leaf eaten off.,,1,,,,
2023,1,3698,5,J,1,17.5,0,NA,NA,2017,,,,,,,
2023,2,3749,6,B,0,NA,NA,NA,NA,2020,NP,,,,,,
2023,2,3858,6,B,2,13.5,1,31,3.5,2016,dead umbel?,,1,,,,
2023,2,3477,6,C,2,11,1,24,4,2018,"dead--stalk broken, no seeds",,,,,,
2023,2,3598,6,D,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3549,7,A,1,8,0,NA,NA,2016,,,,,,,
2023,2,3861,7,A,1,10.5,0,NA,NA,2016,,,,,,,
2023,2,7563,7,A,1,7,0,NA,NA,2022,,,,,,,
2023,2,3703,7,C,2,14,1,27.5,2,2016,,,,,,,
2023,2,3539,7,D,1,15,0,NA,NA,2016,,,,,,,
2023,2,3584,7,F,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,2,3597,7,H,3,16,2,34,SOS,2016,,,,,,,
2023,2,3185,7,I,1,16,0,NA,NA,2017,,,,,,,
2023,2,3751,8,A,4,14,1,22,5,2020,,,,,,,
2023,2,3502,8,B,2,10,1,27,3,2016,,,,,,,
2023,2,3908,8,B,1,13,0,NA,NA,2016,,,,,,,
2023,2,3531,9,B,2,16,1,21,2.5,2016,,,,,,,
2023,2,3865,9,F,0,NA,NA,NA,NA,2016,NP,,,,,,
2023,2,3184,9,G,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,2,3519,9,G,1,16,1,28,3.5,2017,dead umbel--stalk broken and umbel already dead.,,1,,,,
2023,2,3550,9,I,4,13,2,27,SOS,2016,,,,,,,
2023,2,3965,11,A,1,17,0,NA,NA,2021,,,,,,,
2023,2,3163,11,D,1,13,1,17,NA,2019,umbel chewed off; not tracking phenology.,,,,,,
2023,2,3156,11,E,2,10,2,20,SOS,2019,untagged plant next to it,,1,,,,
2023,2,3588,11,F,3,14,1,25,3,2021,not tracking phenology,,,,,,
2023,2,3746,11,H,0,NA,NA,NA,NA,2021,NP. Tag pulled.,1,,,,,
2023,2,3162,11,I,1,8,0,NA,NA,2019,,,,,,,
2023,2,3166,12,B,4,12.5,3,26,SOS,2019,,,,,,,
2023,2,3169,12,J,2,11,1,23,5,2019,,,,,,,
2023,2,3159,13,H,10,15,6,28,SOS,2019,all seeding are same height,,,,,,
2023,2,3168,13,J,3,8,2,28,SOS,2019,,,,,,,
2023,2,3164,14,B,2,16,1,28,5,2019,,,,,,,
2023,2,3173,14,B,NA,NA,NA,NA,NA,2019,NPNT > 2 years.,,1,,,,
2023,2,3053,14,B,1,13,0,NA,NA,2021,,,,,,,
2023,2,7569,14,I,1,11,0,NA,NA,2022,,,,,,,
2023,2,3175,15,A,3,12,2,27,SOS,2019,1 umbel dead.,,,,,,
2023,2,3167,15,B,1,19.5,0,NA,NA,2019,,,,,,,
2023,2,3155,16,A,4,13,2,35,SOS,2019,,,,,,,
2023,2,3172,17,A,2,14,2,25,SOS,2019,,,,,,,
2023,2,7560,17,J,2,13,1,22,4,2022,,,,,,,
2023,2,3190,18,C,0,NA,NA,NA,NA,2019,NP,,,,,,
2023,2,3795,18,C,1,13,0,NA,NA,2021,,,,,,,
2023,2,3186,18,D,2,17,1,36,5.5,2019,,,,,,,
2023,2,3157,18,E,2,11,1,34,5,2019,,,,,,,
2023,2,3185,19,B,3,16.5,2,24,SOS,2019,,,,,,,
2023,2,3188,19,B,2,12,1,23,4,2019,seeding umbel,,,,,,
2023,2,3187,19,C,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,2,3189,19,C,1,11,0,NA,NA,2019,,,,,,,
2023,2,3352,19,H,2,12,1,16,NA,2021,dead umbel,,,,,,
2023,2,3562,19,I,1,11,1,18,3.5,2021,,,,,,,
2023,3,3793,0,A,0,NA,NA,NA,NA,2019,NP. Tag pulled.,1,,,,,
2023,3,3056,0,B,3,23.5,1,36,7,2016,,,,,,,
2023,3,3919,0,B,2,27,1,33.5,4.5,2019,,,,,,,
2023,3,3624,0,D,2,19,1,40,4.5,2016,,,,,,,
2023,3,3015,0,F,6,20,3,45,SOS,2017,,,,,,,
2023,3,3081,1,B,2,20.5,1,38,4.5,2021,,,,,,,
2023,3,3906,1,C,2,22.5,1,39,5.5,2017,,,,,,,
2023,3,3349,1,F,7,28,3,50.5,SOS,2016,,,,,,,
2023,3,3019,2,A,NA,NA,NA,NA,NA,2017,NPNT > 2 years.,,1,,,,
2023,3,3462,2,A,3,21,2,35,SOS,2018,,,,,,,
2023,3,3036,2,B,1,12,0,NA,NA,2016,,,,,,,
2023,3,3633,2,B,1,15,0,NA,NA,2016,,,,,,,
2023,3,3568,2,C,1,16,0,NA,NA,2017,in dactylis clump. Plant is alive!,,,,,,
2023,3,3799,2,D,2,26.5,1,47,6,2019,,,,,,,
2023,3,7573,3,A,4,17.5,2,47.5,SOS,2022,,,,,,,
2023,3,3304,3,B,3,29,1,51,10,2016,,,,,,,
2023,3,3313,3,B,2,26,1,30.5,3,2016,,,,,,,
2023,3,3507,3,B,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,3,3651,3,B,2,24,1,38,7,2017,seeding umbel,,,,,,
2023,3,3831,4,B,3,20,2,42.5,SOS,2017,,,,,,,
2023,3,3461,4,C,1,22,0,NA,NA,2018,,,,,,,
2023,3,3797,4,I,3,28.5,2,49,SOS,2019,,,,,,,
2023,3,3846,6,D,4,23,2,46,SOS,2021,,,,,,,
2023,3,3796,6,E,3,20,1,33.5,4,2019,,,,,,,
2023,3,3798,6,E,1,7,0,NA,NA,2019,,,,,,,
2023,3,7548,9,G,5,22.5,3,58.5,SOS,2022,,,,,,,
2023,3,3759,15,B,4,20.5,3,47.5,SOS,2021,,,,,,,
2023,3,7552,15,C,5,22,3,35,SOS,2022,,,,,,,
2023,3,7539,15,C,3,16.5,1,28,3.5,2022,,,,,,,
2023,4,3656,0,D,2,16,1,34,5,2017,,,,,,,
2023,4,3020,0,D,1,20.5,0,NA,NA,2021,next to hose,,,,,,
2023,4,7550,0,H,3,18,2,35,SOS,2022,on plot edge,,,,,,
2023,4,3730,0,I,2,21,1,40,8,2021,,,,,,,
2023,4,3154,1,A,2,14.5,1,42,4,2019,"on plot edge, not tracket for phenology",,,,,,
2023,4,3812,1,D,1,5,0,NA,NA,2017,,,,,,,
2023,4,3064,1,H,1,16,0,NA,NA,2016,under hose,,,,,,
2023,4,3075,1,I,1,25,0,NA,NA,2016,under hose,,,,,,
2023,4,3152,1,I,1,16,0,NA,NA,2019,,,,,,,
2023,4,3660,2,G,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,4,3787,3,G,1,18,1,40,4,2020,,,,,,,
2023,4,3364,3,H,5,15,5,55,SOS,2016,,,,,,,
2023,4,3596,3,H,3,14,2,60,SOS,2021,,,,,,,
2023,4,3460,3,J,0,NA,NA,NA,NA,2018,NP. Tag pulled.,1,,,,,
2023,4,3365,3,J,2,12,0,NA,NA,2021,,,,,,,
2023,4,3007,4,H,1,26,0,NA,NA,2016,,,,,,,
2023,4,3165,4,H,1,25,0N,NA,NA,2019,,,,,,,
2023,4,3151,4,I,0,NA,NA,NA,NA,2019,under grass clump. NP; tag pulled.,1,,,,,
2023,4,3680,4,J,1,10,0,NA,NA,2016,,,,,,,
2023,4,3459,5,H,1,14,0,NA,NA,2018,,,,,,,
2023,4,1411,6,G,4,18,3,60,SOS,2021,,,,,,,
2023,4,3786,6,H,3,14,1,41,6,2020,,,,,,,
2023,4,3983,7,I,0,NA,NA,NA,NA,2016,NP,,,,,,
2023,4,3122,8,J,7,17,4,53,SOS,2017,,,,***3 or 2 umbles? There are 3 measurements,,,
2023,4,7591,9,J,3,18,2,44,SOS,2022,,,,,,,
2023,4,7545,9,J,2,23,0,NA,NA,2022,,,,,,,
2023,4,2230,10,J,5,23,3,49,SOS,2021,,,,,,,
2023,4,3103,11,O,2,18,1,52,5,2017,11E,,,,,,
2023,4,3555,11,T,NA,NA,NA,NA,NA,2016,NPNT. 11J.,,,,,,
2023,4,3750,12,P,NA,NA,NA,NA,NA,2021,NPNT. 12F.,,,,,,
2023,4,3342,14,N,4,20,1,24,6,2016,14D,,,,,,
2023,4,3563,15,R,NA,NA,NA,NA,NA,2016,NPNT. 15H.,,,,,,
2023,4,3182,16,H,0,NA,NA,NA,NA,2019,"NP. Saw it 5/4, now gone.",,,,,,
2023,4,3321,16,L,0,NA,NA,NA,NA,2021,NP-- lots of digging by rodents (?) in area. Next to 3732.,,,,,,
2023,4,3735,16,M,NA,NA,NA,NA,NA,2021,NPNT. Next to 3735. =16C in div.,,,,,,
2023,4,3732,16,M,0,NA,NA,NA,NA,2021,NP. =16C.,,,,,,
2023,4,7510,17,G,2,20,0,NA,NA,2022,,,,,,,
2023,4,7531,17,H,1,23,0,NA,NA,2022,,,,,,,
2023,4,7590,17,H,1,13,0,NA,NA,2022,,,,,,,
2023,4,7509,18,I,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,4,3634,18,O,NA,NA,NA,NA,NA,2016,NPNT. Giant vole hole! =18E.,,,,,,
2023,4,3090,18,P,NA,NA,NA,NA,NA,2016,NPNT. Giant mouse hole. = 18F.,,,,,,
2023,5,3490,0,F,1,17,0,NA,NA,2019,,,,,,,
2023,5,3788,0,F,4,24,2,35,SOS,2020,,,,,,,
2023,5,3024,0,H,1,21,0,NA,NA,2016,,,,,,,
2023,5,3328,0,H,0,NA,NA,NA,NA,2016,NP. NPNT in 2022. Was tag pulled in 2023?,,1,,,,
2023,5,3467,0,H,2,20,0,NA,NA,2018,,,,,,,
2023,5,3195,1,A,3,20,2,27,SOS,?,,,,,,,
2023,5,3152,1,G,4,13,3,40,SOS,2017,,,,,,,
2023,5,5027,1,H,2,15,1,34,4,2021,,,,,,,
2023,5,3108,1,I,3,15,2,33,SOS,2017,,,,,,,
2023,5,3105,1,J,1,17,0,NA,NA,2016,,,,,,,
2023,5,3468,1,J,3,14,2,25,SOS,2018,,,,,,,
2023,5,3148,2,C,3,18.5,2,41,SOS,2017,,,,,,,
2023,5,3161,2,F,4,17,2,30,SOS,2017,,,,,,,
2023,5,3499,2,G,3,17,2,23.5,SOS,2019,,,,,,,
2023,5,7512,2,G,1,19,1,24,NA,2022,dead umbel,,,,,,
2023,5,5029,2,H,1,13,0,NA,NA,2021,next to 3998,,,,,,
2023,5,3508,2,I,0,NA,NA,NA,NA,2017,NP,,,,,,
2023,5,3197,3,A,5,11,4,34,SOS,2016,,,,,,,
2023,5,3193,3,B,2,10,1,23,NA,2016,dead umbel,,,,,,
2023,5,3560,3,B,6,11.5,5,23,SOS,2017,"some leaves and umbels eaten. Next to 3820, near 3D.",,,,,,
2023,5,3194,3,C,NA,NA,NA,NA,NA,2016,NPNT > 2 years.,,,,,,
2023,5,3820,3,C,3,19,2,30,SOS,2017,,,,,,,
2023,5,7501,3,C,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,5,5026,3,D,3,17,2,26,SOS,2021,"1 umbel dead, other eaten",,,,,,
2023,5,7519,3,D,2,17,1,30,4,2022,,,,,,,
2023,5,7522,3,F,4,14,2,38,SOS,2022,,,,,,,
2023,5,3479,3,G,0,NA,NA,NA,NA,2019,NP,,,,,,
2023,5,3987,3,H,3,13,2,42,SOS,2016,,,,,,,
2023,5,3998,3,H,1,23,0,NA,NA,2016,,,,,,,
2023,5,3125,3,I,4,17,2,42.5,SOS,2017,,,,,,,
2023,5,3338,3,I,4,17,3,25,SOS,2017,,,,,,,
2023,5,3877,3,J,1,15.5,1,32,3.5,2016,,,,,,,
2023,5,7580,3,J,3,16.5,2,27,SOS,2022,phenology not tracked,,,,,,
2023,5,3199,4,B,7,16,4,37,SOS,2016,,,,,,,
2023,5,3466,4,B,2,13,1,14,2,2018,think it's seeding?,,,,,,
2023,5,3465,4,C,3,12,2,9,SOS,2018,,,,,,,
2023,5,3196,4,D,4,11,2,28,SOS,2016,2022: maybe 2 plants?,,,,,,
2023,5,3200,4,F,8,14,4,30,SOS,2016,,,,,,,
2023,5,7596,4,G,2,15,1,28,2.5,2022,,,,,,,
2023,5,7581,4,J,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,5,3622,5,D,1,13,0,NA,NA,2017,,,,,,,
2023,5,5021,5,F,3,12,2,37,SOS,2021,1 umbel dead,,,,,,
2023,5,3484,5,H,1,15,1,30,8,2019,beside 5017,,,,,,
2023,5,3706,5,I,NA,NA,NA,NA,NA,2017,NPNT--definitely no plant!,,,,,,
2023,5,3191,6,E,2,15,1,30,4,2016,,,,,,,
2023,5,7543,6,E,2,16,1,25,3.5,2022,not going to make seeds--got pulled out accidentally,,,,,,
2023,5,3708,6,F,2,5,1,19,NA,2017,umbel dead,,,,,,
2023,5,7525,6,F,0,NA,NA,NA,NA,2022,NP,,,,,,
2023,5,5017,6,H,2,16,1,30,4.5,2021,beside 3484,,,,,,
2023,5,7524,6,H,2,11,1,20,NA,2022,umbel dead,,,,,,
2023,5,3941,7,B,16,13.5,8,37,SOS,2017,,,,,,,
2023,5,3684,7,E,1,13,0,NA,NA,2017,,,,,,,
2023,5,7597,7,F,2,13,1,30,4.5,2022,,,,,,,
2023,5,3120,7,G,4,13,2,26,SOS,2016,umbels are same height,,,,,,
2023,5,3714,7,G,4,12,2,33,SOS,2017,,,,,,,
2023,5,3592,7,J,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,5,3803,8,A,NA,NA,NA,NA,NA,2017,NPNT > 2 years.,,1,,,,
2023,5,3810,8,B,5,17,4,37,SOS,2017,,,,,,,
2023,5,7542,8,D,2,8,1,21,2,2022,,,,,,,
2023,5,2055,8,F,1,14,1,29,4,2021,tag is 5022,,,,,,
2023,5,3034,8,G,1,19,0,NA,NA,2017,,,,,,,
2023,5,3644,8,H,7,15,4,49,SOS,2017,,,,,,,
2023,5,3198,9,B,1,19,0,NA,NA,2016,,,,,,,
2023,5,3836,9,C,3,15,2,39,3.5,2016,,,,,,,
2023,5,3170,9,D,0,NA,NA,NA,NA,2016,NP,,,,,,
2023,5,3546,9,F,1,NA,1,30,5,2017,leaf munched off,,,,,,
2023,5,3362,10,F,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,5,3896,10,F,3,14.5,2,33,SOS,2017,1 umbel dead,,,,,,
2023,5,5034,10,H,0,NA,NA,NA,NA,2021,NP,,,,,,
2023,5,3174,10,I,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,5,5033,10,I,0,NA,NA,NA,NA,2021,NP. Tag pulled.,1,,,,,
2023,5,3649,11,A,5,17,3,38,SOS,2017,,,,,,,
2023,5,3074,11,C,5,19,3,30,SOS,2017,,,,,,,
2023,5,3471,11,D,1,14,0,NA,NA,2018,,,,,,,
2023,5,3807,11,H,3,15,2,50,SOS,2017,1 umbel dead,,,,,,
2023,5,5036,11,H,4,12,2,30,SOS,2021,definitely not 3807,,,,,,
2023,5,3615,11,J,4,17.5,2,41,SOS,2017,,,,,,,
2023,5,5045,12,B,5,19,3,33,SOS,2021,last umbel won't make seeds-- shrivelled,,,,,,
2023,5,3516,12,C,3,11,2,44,SOS,2017,,,,,,,
2023,5,3476,12,E,9,14,4,37,SOS,2019,,,,,,,
2023,5,3109,12,F,0,NA,NA,NA,NA,2017,NP,,,,,,
2023,5,3361,13,A,1,16,0,NA,NA,2017,,,,,,,
2023,5,5044,13,B,7,15,5,38,SOS,2021,,,,,,,
2023,5,3331,13,E,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,5,3577,13,G,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,5,3677,13,G,2,9,1,26,3,?,in 13E,,,,,,
2023,5,5035,13,G,0,NA,NA,NA,NA,2021,NP. Tag pulled.,1,,,,,
2023,5,3566,13,H,2,11,1,22,4,2017,,,,,,,
2023,5,3470,13,I,4,12,2,33,SOS,2018,,,,,,,
2023,5,3093,14,A,2,21.5,2,42,SOS,2017,,,,,,,
2023,5,3095,14,B,NA,NA,NA,NA,NA,2016,NPNT > 2 years.,,,,,,
2023,5,3125,14,C,6,15,3,41,SOS,2019,,,,,,,
2023,5,3988,14,C,0,NA,NA,NA,NA,2016,NP,,,,,,
2023,5,3060,14,D,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,5,3153,14,D,4,16,2,36,SOS,2017,,,,,,,
2023,5,3010,14,G,5,13,3,33,SOS,2016,,,,,,,
2023,5,7546,14,G,2,10,1,30,6,2022,,,,,,,
2023,5,3710,14,H,4,10,2,33,SOS,2016,,,,,,,
2023,5,3022,14,J,4,10,2,35,SOS,2016,,,,,,,
2023,5,3144,14,J,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,5,5043,15,F,2,5.5,2,28,SOS,2021,,,,,,,
2023,5,3186,15,G,NA,NA,NA,NA,NA,2016,NPNT > 2 years.,,,,,,
2023,5,3984,15,H,NA,NA,NA,NA,NA,2016,NPNT,,,,,,
2023,5,3488,15,I,10,13,6,36,SOS,2019,more like 12 I/J,,,,,,
2023,5,3127,16,B,6,13,3,41,SOS,2019,,,,,,,
2023,5,3833,16,B,2,17,1,36,7,2016,,,,,,,
2023,5,3124,16,D,3,21,2,50,SOS,2016,,,,,,,
2023,5,3067,16,F,3,13,3,34,SOS,2016,,,,,,,
2023,5,3697,16,G,6,12,3,29,SOS,2017,1 umbel dead,,,,,,
2023,5,3811,16,J,3,12,1,30,4,2017,"stalk out of ground, no seeds",,,,,,
2023,5,3180,17,B,NA,NA,NA,NA,NA,2016,weird duplicate! Delete this one!,,1,********,,,
2023,5,3342,17,B,NA,NA,NA,NA,NA,2016,NPNT > 2 years.,,,,,,
2023,5,3073,17,G,3,11,2,29,SOS,2016,,,,,,,
2023,5,3817,17,H,5,20,3,38,SOS,2017,,,,,,,
2023,5,3888,17,I,5,17,3,42,SOS,2017,1 dead umbel,,,,,,
2023,5,3474,18,A,6,17,4,39,SOS,2018,,,,,,,
2023,5,3685,18,B,7,18,4,45,SOS,2016,,,,,,,
2023,5,7555,18,B,2,13,2,34,SOS,2022,,,,,,,
2023,5,3180,18,C,1,15,0,NA,NA,2016,this is the real 3180!,,1,********,,,
2023,5,3334,18,C,0,NA,NA,NA,NA,2016,NP. Tag pulled.,1,,,,,
2023,5,3135,18,D,3,14,2,55,SOS,2016,1 leaf broken off,,,,,,
2023,5,3178,18,E,4,15,3,25,SOS,2016,last leaf munched,,,,,,
2023,5,3869,18,E,2,18,2,31,SOS,2016,,,,,,,
2023,5,3473,18,G,5,14,3,34,SOS,2018,,,,,,,
2023,5,7526,19,E,1,9,1,25,4,2022,,,,,,,
2023,5,3713,19,F,2,15,1,24,3,2016,umbel munched off,,,,,,
2023,5,5042,19,G,3,9,2,23,SOS,2021,1 umbel dead,,,,,,
2023,5,3663,19,I,5,15,3,41,SOS,2016,,,,,,,
2023,6,3070,4,G,7,19.5,4,52,SOS,2016,1 umbel dead,,,,,,
2023,6,3008,4,J,3,19,2,39,SOS,2016,,,,,,,
2023,6,3179,5,E,6,20,3,44,SOS,2017,,,,,,,
2023,6,3790,5,I,1,11.5,0,NA,NA,2020,,,,,,,
2023,6,3916,7,C,0,NA,NA,NA,NA,2016,"Tag is actually 3918. NP, tag pulled.",1,1,********,,,
2023,6,3400,8,E,3,24,2,30.5,SOS,2017,,,,,,,
2023,6,3048,8,J,2,11,1,31,5,2021,not tracked for phenology. Outside plot.,,,,,,
2023,6,3791,9,J,4,25,2,27.5,SOS,2020,next to hose. Not in plot so no previous phenology.,,,,,,
2023,6,3518,10,I,5,17,3,44.5,SOS,2017,,,,,,,
2023,6,3319,11,A,2,23,1,19,2,2017,new flower this week!,,,,,,
2023,6,3753,11,A,4,16,2,31,SOS,2021,,,,,,,
2023,6,3601,12,B,0,NA,NA,NA,NA,2017,NP. Tag pulled.,1,,,,,
2023,6,3360,12,C,3,22,1,32,5,2016,,,,,,,
2023,6,3345,12,D,5,23,4,49,SOS,2016,,,,,,,
2023,6,3358,12,D,7,21,4,43,SOS,2017,,,,,,,
2023,6,3164,13,A,2,19,1,33,5.5,2017,tag=3789. new flower? Not tracked for phenology.,,1,********,,,
2023,6,7587,13,A,3,30,2,41,SOS,2022,2022: could be same plant as 3456?,,1,,,,
2023,6,3456,13,B,NA,NA,NA,NA,NA,2018,NPNT > 2 years. 2022: could be same plant as 7578,,1,,,,
2023,6,3489,13,B,3,24,2,43,SOS,2019,,,,,,,
2023,6,3669,14,E,3,17,2,39,SOS,2016,,,,,,,
2023,6,3372,14,G,4,19,2,34,SOS,2017,,,,,,,
2023,6,3373,14,H,1,13.5,0,NA,NA,2017,,,,,,,
2023,6,3141,15,E,5,16,3,28,SOS,2016,last flower is sad and small,,,,,,
2023,6,3785,15,G,0,NA,NA,NA,NA,2020,NP. Tag pulled.,1,,,,,
